customer_id,signup_date,customer_age,country,region,city,industry,company_size,subscription_plan,contract_type,contract_length_months,monthly_recurring_revenue,payment_method,support_tickets,usage_score,login_frequency,nps_score,discount_percentage,tenure_months,customer_segment,customer_lifetime_value,customer_acquisition_cost,acquisition_channel,acquisition_month,is_active,churn,last_transaction_date,days_since_last_transaction,frequency_score,monetary_score,average_transaction_value,total_transactions,total_revenue,total_profit,customer_profitability,risk_score
CUST_000010,2022-04-05,65,Germany,Europe,Cassandraton,Real Estate,Small Business,Basic,Annual,12,38.99,ACH,1.0,62.7,12.1,37.0,7.5,32,Low Engagement,215.96,113.11,Organic Search,2022-04,1,0,2024-10-28,64,1,1,58.28,13,757.69,453.5,Low,16.7
CUST_000011,2024-11-10,33,USA,North America,Herrerafurt,Retail,Startup,Basic,Monthly,1,22.2,Invoice,2.0,47.4,17.0,2.0,0.0,1,New / Onboarding,71.38,189.7,Outbound Sales,2024-11,0,1,2024-12-09,22,1,1,47.67,10,476.69,300.93,Low,31.1
CUST_000012,2024-08-07,45,USA,North America,New Kellystad,Education,Startup,Professional,Monthly,1,84.86,Invoice,5.0,33.1,6.6,-26.0,0.0,4,New / Onboarding,135.13,43.81,Organic Search,2024-08,1,0,2024-12-17,14,1,2,187.83,12,2253.98,1790.04,Medium,62.8
CUST_000013,2023-02-09,58,UK,Europe,Lake Chad,Real Estate,Startup,Professional,Monthly,1,99.68,ACH,1.0,54.8,10.2,2.0,0.1,22,Core,263.44,70.18,Referral,2023-02,1,0,2024-11-27,34,5,3,159.89,20,3197.71,2426.62,Medium,37.8
CUST_000014,2023-01-02,51,UK,Europe,Port Keith,Technology,Startup,Professional,Annual,12,68.88,Credit Card,6.0,56.0,13.0,-34.0,2.3,23,Core,135.4,72.6,Content Marketing,2023-01,1,0,2024-11-22,39,4,2,109.82,18,1976.84,1473.76,Medium,49.7
CUST_000015,2023-01-04,31,USA,North America,Port Jesseville,Finance,Mid-Market,Enterprise,Annual,12,4078.72,Credit Card,6.0,82.3,29.7,2.0,9.7,23,Core,94438.06,2749.69,Outbound Sales,2023-01,1,0,2024-09-28,94,2,5,5993.34,15,89900.04,75934.96,Top,3.9
CUST_000016,2023-05-22,70,Australia,APAC,Ramirezstad,Finance,Mid-Market,Basic,Annual,12,129.2,PayPal,6.0,64.3,22.5,22.0,7.2,19,Low Engagement,1061.04,4156.21,Outbound Sales,2023-05,1,0,2024-11-05,56,1,2,208.31,11,2291.41,1789.28,Medium,11.3
CUST_000017,2023-12-13,32,USA,North America,West Michael,Healthcare,Enterprise,Enterprise,Annual,12,10055.22,ACH,3.0,56.0,31.0,32.0,10.6,12,Strategic,449468.33,6831.99,Referral,2023-12,1,0,2024-11-27,34,1,5,15655.33,12,187863.97,156441.67,Top,2.0
CUST_000018,2023-09-23,34,UK,Europe,Jacquelineland,Technology,Small Business,Professional,Monthly,1,132.96,Wire Transfer,8.0,74.4,19.1,31.0,2.1,15,Low Engagement,553.91,347.27,Paid Social,2023-09,1,0,2024-11-27,34,1,2,210.4,12,2524.82,1938.55,Medium,23.5
CUST_000019,2023-05-08,38,USA,North America,New Jessica,Education,Startup,Basic,Annual,12,37.64,PayPal,2.0,52.4,16.4,2.0,6.5,19,Core,68.07,145.52,Paid Social,2023-05,1,0,2024-11-24,37,3,1,56.8,17,965.65,621.42,Low,51.7
CUST_000020,2024-02-23,24,USA,North America,South Noah,Technology,Startup,Basic,Monthly,1,25.3,Invoice,5.0,48.9,10.9,15.0,3.2,10,Low Engagement,44.85,113.97,Organic Search,2024-02,0,1,2024-06-07,207,1,1,38.45,12,461.36,198.2,Low,54.6
CUST_000021,2022-11-07,26,UK,Europe,Lake Mark,Other,Startup,Basic,Annual,12,20.79,Credit Card,6.0,41.8,21.3,-10.0,8.9,25,Low Engagement,65.99,61.11,Organic Search,2022-11,1,0,2024-11-09,52,2,1,32.03,15,480.51,232.63,Low,28.7
CUST_000022,2023-05-09,23,USA,North America,East Lydiamouth,Education,Startup,Professional,Monthly,1,90.62,Credit Card,3.0,45.6,19.1,-4.0,2.0,19,Core,224.83,201.48,Outbound Sales,2023-05,0,1,2024-08-01,152,5,3,150.42,19,2858.0,2196.64,Medium,39.5
CUST_000023,2023-07-23,22,USA,North America,Adamsborough,Retail,Small Business,Professional,Monthly,1,172.92,ACH,0.0,61.5,20.2,54.0,1.1,17,Core,1628.74,437.86,Paid Social,2023-07,1,0,2024-12-06,25,5,3,287.26,20,5745.12,4699.41,High,10.5
CUST_000024,2023-10-14,39,UK,Europe,Jasonfort,Technology,Small Business,Business,Monthly,1,354.45,Credit Card,6.0,75.2,26.1,27.0,1.8,14,Champion,2486.21,205.76,Organic Search,2023-10,1,0,2024-12-06,25,5,4,613.86,20,12277.15,10101.8,High,14.0
CUST_000025,2024-07-04,28,Other,LATAM,Wilkersonmouth,Retail,Small Business,Professional,Monthly,1,155.98,Credit Card,6.0,48.2,12.4,-20.0,2.2,5,Core,276.36,337.54,Partnership,2024-07,1,0,2024-12-21,10,5,3,289.35,21,6076.31,4858.03,High,55.2
CUST_000026,2023-01-25,28,Australia,APAC,West Donald,Healthcare,Startup,Basic,Monthly,1,35.53,Credit Card,4.0,72.0,23.3,12.0,3.0,23,Low Engagement,331.39,157.52,Partnership,2023-01,1,0,2024-11-07,54,1,1,51.81,13,673.48,354.95,Low,10.4
CUST_000027,2023-12-04,59,USA,North America,Juliechester,Healthcare,Startup,Basic,Annual,12,37.95,ACH,7.0,51.4,10.1,-37.0,3.9,12,Low Engagement,75.04,333.43,Paid Search,2023-12,1,0,2024-12-04,27,1,1,71.25,13,926.3,653.58,Low,48.6
CUST_000028,2024-02-07,23,USA,North America,Coxberg,Education,Startup,Basic,Monthly,1,33.91,ACH,4.0,33.2,18.0,-35.0,0.0,10,Core,64.96,151.4,Paid Social,2024-02,0,1,2024-12-02,29,5,2,67.24,20,1344.75,852.2,Low,52.2
CUST_000029,2022-06-06,47,USA,North America,Daviston,Finance,Startup,Professional,Annual,12,85.83,Credit Card,3.0,70.6,22.6,11.0,5.9,30,Core,928.35,191.37,Referral,2022-06,0,1,2023-09-20,468,5,2,104.99,23,2414.68,1749.04,Medium,8.7
CUST_000030,2024-02-19,43,USA,North America,East Courtneychester,Finance,Mid-Market,Professional,Multi-Year,24,345.07,Credit Card,0.0,53.6,16.3,-6.0,14.0,10,Core,1137.01,1183.17,Referral,2024-02,1,0,2024-12-10,21,1,4,546.3,13,7101.87,5829.32,High,26.1
CUST_000031,2022-12-19,62,USA,North America,South Patrickmouth,Education,Startup,Basic,Monthly,1,27.51,Credit Card,5.0,61.3,20.4,-7.0,0.0,24,Low Engagement,141.8,33.15,Referral,2022-12,1,0,2024-11-11,50,2,1,44.44,15,666.61,334.22,Low,19.4
CUST_000032,2022-07-13,55,USA,North America,Tashatown,Technology,Mid-Market,Business,Monthly,1,967.11,ACH,3.0,46.0,18.6,5.0,5.6,29,Core,9221.74,2295.88,Paid Search,2022-07,1,0,2024-10-28,64,2,4,1411.08,15,21166.25,17902.97,Top,9.9
CUST_000033,2024-10-27,50,UK,Europe,Lake Nicoleview,Retail,Small Business,Basic,Annual,12,56.23,Credit Card,5.0,39.8,12.1,-10.0,9.7,2,Core,128.55,157.65,Organic Search,2024-10,1,0,2024-12-29,2,5,2,114.05,20,2281.0,1663.17,Medium,39.5
CUST_000034,2024-11-07,36,Australia,APAC,Danielchester,Retail,Startup,Basic,Monthly,1,24.87,Invoice,6.0,59.4,16.3,17.0,2.1,1,New / Onboarding,95.11,59.1,Organic Search,2024-11,1,0,2024-12-30,1,2,1,57.42,15,861.33,544.91,Low,25.6
CUST_000035,2024-07-21,49,Canada,North America,South Aaron,Finance,Mid-Market,Professional,Annual,12,321.99,ACH,6.0,56.0,13.1,4.0,7.4,5,Core,1733.5,2070.36,Paid Social,2024-07,1,0,2024-12-16,15,1,4,559.77,13,7277.02,6046.12,High,17.2
CUST_000036,2023-05-22,29,Other,MEA,Teresaburgh,Education,Small Business,Business,Annual,12,453.94,Credit Card,5.0,72.8,21.9,8.0,8.1,19,Core,1977.11,471.5,Paid Search,2023-05,1,0,2024-11-23,38,3,4,681.11,16,10897.74,9037.18,High,21.1
CUST_000037,2022-09-06,65,USA,North America,Port Colleenhaven,Other,Startup,Basic,Annual,12,28.6,Credit Card,3.0,43.0,18.8,25.0,4.4,27,Low Engagement,62.42,134.39,Content Marketing,2022-09,1,0,2024-11-05,56,2,1,41.82,15,627.36,284.91,Low,43.8
CUST_000038,2024-04-20,27,Other,MEA,East Nathaniel,Finance,Mid-Market,Business,Multi-Year,24,988.52,ACH,4.0,76.4,30.0,48.0,12.9,8,Core,23916.69,1236.81,Referral,2024-04,1,0,2024-12-14,17,3,5,1657.02,17,28169.35,23264.67,Top,3.6
CUST_000039,2023-09-30,64,UK,Europe,New Stephanie,Finance,Startup,Basic,Monthly,1,32.99,ACH,3.0,56.0,16.8,26.0,1.9,15,Low Engagement,99.27,98.79,Referral,2023-09,1,0,2024-11-30,31,1,1,61.71,13,802.23,550.41,Low,32.6
CUST_000040,2022-10-14,43,USA,North America,New Mariotown,Retail,Startup,Professional,Monthly,1,87.08,ACH,3.0,40.9,9.7,13.0,0.0,26,Core,280.9,135.28,Paid Social,2022-10,1,0,2024-11-19,42,5,3,137.47,20,2749.48,2085.39,Medium,31.0
CUST_000041,2023-11-18,46,Other,MEA,West Natashaport,Manufacturing,Mid-Market,Professional,Annual,12,307.48,Credit Card,3.0,74.1,22.4,34.0,9.5,13,Core,3024.67,2828.32,Paid Search,2023-11,1,0,2024-12-02,29,3,4,511.41,16,8182.55,6795.1,High,9.2
CUST_000042,2022-05-10,60,UK,Europe,North John,Manufacturing,Mid-Market,Business,Annual,12,1284.09,ACH,4.0,44.6,20.6,0.0,12.4,31,Champion,8927.48,1038.75,Organic Search,2022-05,1,0,2024-11-11,50,5,5,1708.94,20,34178.73,28335.11,Top,12.6
CUST_000043,2024-09-30,68,USA,North America,North Jessicaland,Healthcare,Startup,Basic,Annual,12,31.56,PayPal,3.0,45.4,14.2,7.0,9.8,3,New / Onboarding,66.82,77.99,Organic Search,2024-09,0,1,2024-11-11,50,1,1,62.44,12,749.3,460.28,Low,42.6
CUST_000044,2023-04-03,61,USA,North America,East Donna,Technology,Startup,Professional,Annual,12,106.09,Credit Card,4.0,70.5,26.1,33.0,7.4,20,Low Engagement,394.54,80.26,Referral,2023-04,1,0,2024-11-08,53,1,2,171.53,13,2229.88,1716.99,Medium,24.9
CUST_000045,2024-04-03,55,USA,North America,West Allison,Other,Mid-Market,Basic,Multi-Year,24,113.04,Credit Card,8.0,62.0,20.1,-3.0,15.9,8,Low Engagement,508.38,3345.25,Outbound Sales,2024-04,1,0,2024-12-10,21,1,2,179.43,13,2332.64,1825.37,Medium,18.7
CUST_000046,2023-05-29,48,Other,MEA,Brandtside,Healthcare,Startup,Professional,Monthly,1,94.51,Credit Card,4.0,56.8,14.9,-10.0,1.4,19,Core,239.55,325.56,Outbound Sales,2023-05,0,1,2024-07-10,174,5,3,157.03,20,3140.65,2474.97,Medium,38.9
CUST_000047,2023-12-09,43,USA,North America,Lake Larry,Manufacturing,Startup,Basic,Monthly,1,36.58,Credit Card,5.0,46.1,12.5,-1.0,1.9,12,Core,88.82,168.53,Partnership,2023-12,1,0,2024-12-12,19,3,2,70.04,17,1190.61,792.3,Low,40.4
CUST_000048,2024-01-01,69,Other,LATAM,Samuelhaven,Education,Small Business,Business,Monthly,1,423.34,Wire Transfer,5.0,40.4,15.6,-27.0,2.1,11,Core,832.23,453.34,Outbound Sales,2024-01,0,1,2024-05-17,228,1,4,673.82,13,8759.69,7394.82,High,49.8
CUST_000049,2023-01-06,41,USA,North America,Martinezbury,Healthcare,Enterprise,Enterprise,Multi-Year,24,8314.39,Credit Card,4.0,72.4,19.0,35.0,18.7,23,Strategic,125177.76,12454.26,Content Marketing,2023-01,1,0,2024-11-10,51,2,5,10999.53,15,164992.88,136817.64,Top,5.4
CUST_000050,2024-11-10,67,USA,North America,West Andrewside,Manufacturing,Startup,Basic,Monthly,1,24.45,PayPal,4.0,52.6,19.6,-15.0,1.0,1,New / Onboarding,55.39,162.06,Content Marketing,2024-11,1,0,2024-12-25,6,5,2,54.53,21,1145.22,712.77,Low,43.7
CUST_000051,2024-06-27,55,USA,North America,New Jeffrey,Technology,Mid-Market,Professional,Monthly,1,248.78,ACH,4.0,68.1,18.0,39.0,2.7,6,Core,3559.75,1065.74,Referral,2024-06,1,0,2024-12-18,13,1,3,474.63,12,5695.58,4744.5,High,6.8
CUST_000052,2024-10-21,64,USA,North America,Lake Crystalbury,Other,Small Business,Professional,Monthly,1,207.08,Credit Card,6.0,45.8,10.7,6.0,4.0,2,Core,733.57,650.56,Paid Search,2024-10,0,1,2024-11-21,40,3,4,434.38,16,6950.13,5714.89,High,27.1
CUST_000053,2024-09-20,66,USA,North America,North Micheleland,Technology,Small Business,Basic,Monthly,1,49.19,Credit Card,4.0,54.5,20.0,5.0,1.2,3,Core,235.92,199.01,Organic Search,2024-09,1,0,2024-12-27,4,5,2,102.6,20,2052.03,1481.83,Medium,20.6
CUST_000054,2024-02-12,69,Australia,APAC,West Elizabeth,Finance,Mid-Market,Professional,Annual,12,555.2,ACH,6.0,59.7,14.3,12.0,9.6,10,Champion,1667.44,3194.59,Content Marketing,2024-02,1,0,2024-12-15,16,4,4,937.84,18,16881.2,13895.15,Top,30.1
CUST_000055,2024-10-09,24,USA,North America,New David,Retail,Enterprise,Enterprise,Annual,12,9161.66,Credit Card,1.0,94.0,30.9,21.0,12.0,2,Strategic,298602.25,8966.81,Paid Search,2024-10,1,0,2024-12-25,6,2,5,18319.42,15,274791.36,231455.54,Top,2.7
CUST_000056,2022-08-22,66,Germany,Europe,Sanchezfort,Education,Startup,Basic,Monthly,1,26.34,PayPal,5.0,58.9,22.7,6.0,0.9,28,Core,120.29,34.4,Organic Search,2022-08,1,0,2024-11-21,40,5,1,41.89,22,921.65,549.65,Low,21.7
CUST_000057,2023-01-20,21,Germany,Europe,Leeville,Technology,Startup,Business,Annual,12,232.45,Wire Transfer,4.0,44.5,7.9,18.0,4.3,23,Champion,570.4,157.9,Paid Social,2023-01,1,0,2024-11-29,32,5,4,371.47,21,7800.84,6402.73,High,39.0
CUST_000058,2022-06-03,58,USA,North America,Gomezchester,Finance,Enterprise,Enterprise,Monthly,1,10954.72,Wire Transfer,2.0,89.6,28.2,68.0,3.7,30,Strategic,1054939.54,15655.25,Partnership,2022-06,1,0,2024-11-04,57,3,5,15965.82,16,255453.08,215412.81,Top,0.5
CUST_000059,2023-06-12,59,Germany,Europe,Shieldston,Healthcare,Small Business,Professional,Monthly,1,192.53,Credit Card,1.0,83.1,31.0,17.0,1.4,18,Core,2920.53,1031.32,Outbound Sales,2023-06,1,0,2024-12-02,29,3,3,331.93,17,5642.87,4674.36,High,6.5
CUST_000060,2023-08-13,48,India,APAC,North Richardmouth,Healthcare,Small Business,Professional,Annual,12,176.37,Credit Card,3.0,56.9,26.9,-3.0,8.0,16,Core,1502.41,648.7,Paid Social,2023-08,1,0,2024-12-03,28,4,3,279.78,18,5036.12,4011.6,High,10.8
CUST_000061,2023-04-17,63,Canada,North America,East Jamesside,Education,Small Business,Basic,Annual,12,37.31,Credit Card,1.0,70.1,22.5,52.0,8.6,20,Low Engagement,598.27,444.48,Paid Search,2023-04,1,0,2024-11-10,51,1,1,55.0,12,659.95,431.81,Low,5.7
CUST_000062,2024-08-05,57,USA,North America,Taylorburgh,Technology,Mid-Market,Professional,Monthly,1,271.36,Credit Card,6.0,56.7,15.6,-17.0,1.9,4,Champion,1565.91,2477.19,Outbound Sales,2024-08,1,0,2024-12-19,12,4,4,580.12,18,10442.16,8707.19,High,17.0
CUST_000063,2023-07-14,70,UK,Europe,Stevenland,Manufacturing,Mid-Market,Business,Annual,12,1208.65,Credit Card,5.0,71.5,20.5,-10.0,8.0,17,Core,8236.73,1168.89,Referral,2023-07,1,0,2024-11-27,34,3,5,1894.09,16,30305.45,25977.34,Top,13.5
CUST_000064,2023-04-27,65,Germany,Europe,Mortonside,Education,Enterprise,Business,Multi-Year,24,2447.84,Credit Card,5.0,83.1,20.7,20.0,16.2,20,Strategic,39447.88,2322.15,Organic Search,2023-04,1,0,2024-11-14,47,1,5,2962.64,12,35551.63,28803.55,Top,5.2
CUST_000065,2023-12-28,37,USA,North America,North Deniseside,Real Estate,Small Business,Professional,Monthly,1,197.49,Credit Card,3.0,71.8,22.6,4.0,1.4,12,Core,1754.28,729.71,Outbound Sales,2023-12,1,0,2024-11-16,45,3,3,334.08,16,5345.3,4327.39,High,11.1
CUST_000066,2022-11-09,65,USA,North America,North Sarabury,Retail,Startup,Basic,Monthly,1,29.02,Credit Card,5.0,52.2,16.5,-22.0,0.0,25,Low Engagement,101.11,71.97,Referral,2022-11,1,0,2024-09-28,94,2,1,51.4,14,719.6,454.52,Low,28.7
CUST_000067,2024-07-16,40,USA,North America,South Todd,Healthcare,Small Business,Business,Monthly,1,336.6,PayPal,3.0,38.8,16.1,7.0,0.8,5,Core,982.08,315.38,Organic Search,2024-07,1,0,2024-12-21,10,2,4,643.55,14,9009.7,7523.14,High,34.0
CUST_000068,2022-07-30,34,USA,North America,Port Richard,Finance,Small Business,Professional,Annual,12,157.94,PayPal,6.0,44.7,7.2,-14.0,7.9,29,Core,278.66,180.22,Organic Search,2022-07,1,0,2024-11-05,56,3,3,225.17,16,3602.77,2841.57,Medium,52.2
CUST_000069,2024-11-22,66,USA,North America,East Nicholasfurt,Other,Small Business,Basic,Monthly,1,53.25,ACH,2.0,60.0,18.2,31.0,0.2,1,Core,240.47,236.9,Organic Search,2024-11,1,0,2024-12-31,0,5,2,129.44,19,2459.35,1906.87,Medium,22.1
CUST_000070,2024-06-25,39,USA,North America,Saramouth,Real Estate,Small Business,Business,Annual,12,347.48,ACH,5.0,39.7,15.4,-17.0,4.6,6,Core,895.93,1780.57,Outbound Sales,2024-06,1,0,2024-12-20,11,3,4,668.15,17,11358.57,9433.1,High,37.0
CUST_000071,2023-01-23,51,USA,North America,Rodneyside,Finance,Startup,Basic,Monthly,1,23.49,Credit Card,4.0,35.4,14.3,12.0,0.0,23,Low Engagement,46.51,224.03,Paid Social,2023-01,1,0,2024-11-11,50,2,1,34.83,14,487.61,202.01,Low,50.5
CUST_000072,2022-02-11,62,USA,North America,Mooreport,Other,Small Business,Business,Annual,12,449.76,Credit Card,7.0,44.4,19.0,2.0,9.8,34,Champion,803.33,411.97,Paid Search,2022-02,0,1,2024-04-04,271,4,4,619.16,18,11144.93,9179.05,High,50.5
CUST_000073,2024-07-26,68,USA,North America,North Beth,Education,Small Business,Professional,Annual,12,127.75,Credit Card,4.0,61.9,20.6,15.0,5.1,5,Core,577.31,322.47,Paid Search,2024-07,1,0,2024-12-24,7,4,3,257.2,18,4629.54,3701.96,High,21.0
CUST_000074,2024-05-07,52,UK,Europe,Lake Leeton,Real Estate,Mid-Market,Professional,Multi-Year,24,513.73,Credit Card,5.0,69.9,17.8,2.0,15.2,7,Core,3025.3,609.37,Referral,2024-05,1,0,2024-12-18,13,2,4,834.99,14,11689.83,9642.82,High,14.4
CUST_000075,2024-05-24,51,India,APAC,Shawhaven,Manufacturing,Small Business,Professional,Monthly,1,200.2,Credit Card,11.0,48.8,18.3,-25.0,1.0,7,Core,473.03,175.1,Organic Search,2024-05,1,0,2024-12-05,26,3,3,389.84,16,6237.45,5128.84,High,41.9
CUST_000076,2024-06-24,44,USA,North America,North Susan,Real Estate,Startup,Professional,Annual,12,102.82,Credit Card,4.0,46.0,15.0,19.0,9.3,6,New / Onboarding,209.57,62.24,Referral,2024-06,1,0,2024-12-18,13,1,2,172.18,11,1894.0,1410.93,Medium,44.5
CUST_000077,2022-07-29,41,USA,North America,Port Jacobland,Real Estate,Small Business,Basic,Annual,12,66.34,ACH,3.0,32.9,6.1,-19.0,7.0,29,Core,132.11,380.44,Paid Social,2022-07,0,1,2024-08-13,140,3,2,91.15,16,1458.43,1028.49,Medium,46.7
CUST_000078,2023-07-15,60,USA,North America,South David,Technology,Mid-Market,Enterprise,Multi-Year,24,3995.74,ACH,5.0,86.4,31.0,10.0,9.5,17,Champion,75336.35,6060.71,Outbound Sales,2023-07,1,0,2024-12-05,26,5,5,6332.16,19,120311.06,101256.14,Top,4.8
CUST_000079,2022-10-04,24,India,APAC,New Brooke,Other,Small Business,Business,Annual,12,383.59,ACH,2.0,67.8,19.5,-0.0,7.5,26,Core,2516.46,292.14,Partnership,2022-10,1,0,2024-11-07,54,2,4,539.41,15,8091.14,6470.58,High,14.1
CUST_000080,2024-08-29,48,UK,Europe,South Dianeshire,Healthcare,Small Business,Professional,Annual,12,199.25,PayPal,3.0,61.4,22.6,32.0,8.2,4,Core,1203.37,224.87,Organic Search,2024-08,1,0,2024-12-21,10,1,3,404.97,12,4859.6,4004.45,High,15.2
CUST_000081,2024-03-03,41,USA,North America,Sarahborough,Finance,Small Business,Business,Annual,12,439.89,PayPal,4.0,37.7,14.9,-30.0,8.3,9,At Risk,578.74,264.19,Organic Search,2024-03,0,1,2024-09-11,111,3,4,668.14,16,10690.25,8789.01,High,69.7
CUST_000082,2023-06-18,26,Australia,APAC,Johnfurt,Education,Startup,Basic,Annual,12,27.34,Credit Card,0.0,49.5,11.2,-17.0,6.5,18,At Risk,38.97,96.37,Paid Social,2023-06,0,1,2023-08-13,506,4,1,37.85,18,681.25,338.83,Low,65.6
CUST_000083,2022-07-10,31,USA,North America,Lake Debbie,Manufacturing,Mid-Market,Business,Annual,12,798.85,ACH,2.0,42.4,11.5,24.0,8.0,29,Core,4272.92,1162.4,Referral,2022-07,1,0,2024-10-20,72,1,4,1150.16,13,14952.12,12647.52,High,17.2
CUST_000084,2023-05-29,23,USA,North America,Stewartland,Real Estate,Startup,Professional,Monthly,1,79.11,Invoice,1.0,62.3,15.3,21.0,0.2,19,Low Engagement,297.93,77.56,Partnership,2023-05,1,0,2024-11-23,38,2,2,138.57,15,2078.51,1547.68,Medium,26.5
CUST_000085,2023-06-12,56,USA,North America,South Christineshire,Finance,Small Business,Professional,Annual,12,183.28,ACH,3.0,75.4,20.7,20.0,7.4,18,Core,1631.9,1116.54,Outbound Sales,2023-06,1,0,2024-11-20,41,1,3,263.51,13,3425.57,2770.39,Medium,10.4
CUST_000086,2024-05-24,32,USA,North America,North Amandahaven,Finance,Startup,Professional,Annual,12,88.3,ACH,4.0,52.9,13.4,17.0,5.1,7,Low Engagement,215.42,73.86,Organic Search,2024-05,1,0,2024-12-06,25,1,2,163.67,10,1636.69,1227.26,Medium,38.9
CUST_000087,2024-03-14,59,Canada,North America,Davidstad,Technology,Startup,Business,Annual,12,329.87,Wire Transfer,0.0,48.6,12.1,7.0,6.7,9,Champion,857.29,70.71,Organic Search,2024-03,0,1,2024-06-17,197,4,4,540.39,18,9727.02,8043.65,High,35.9
CUST_000088,2024-09-15,34,UK,Europe,East Mikeburgh,Finance,Small Business,Basic,Annual,12,55.07,Credit Card,4.0,51.5,15.5,17.0,5.7,3,Low Engagement,180.32,367.38,Referral,2024-09,1,0,2024-12-22,9,1,2,112.13,10,1121.32,820.5,Low,28.8
CUST_000089,2023-10-29,45,Australia,APAC,Bassport,Manufacturing,Small Business,Professional,Monthly,1,172.2,Credit Card,1.0,84.1,26.9,26.0,0.6,14,Champion,5034.32,261.28,Partnership,2023-10,1,0,2024-12-12,19,5,4,332.24,20,6644.71,5503.99,High,3.4
CUST_000090,2022-10-10,57,UK,Europe,Lake Lisaport,Healthcare,Mid-Market,Business,Annual,12,853.17,PayPal,3.0,49.4,20.4,8.0,10.9,26,Core,7452.69,6140.55,Outbound Sales,2022-10,1,0,2024-10-15,77,1,4,1211.85,11,13330.35,10997.77,High,10.2
CUST_000091,2024-05-12,22,USA,North America,East Josephville,Finance,Mid-Market,Professional,Monthly,1,329.6,Invoice,3.0,53.8,12.1,6.0,6.1,7,Core,1466.8,1091.33,Organic Search,2024-05,1,0,2024-12-20,11,3,4,581.53,17,9886.09,8257.66,High,21.1
CUST_000092,2024-06-16,60,UK,Europe,West Juan,Technology,Mid-Market,Professional,Annual,12,279.51,Credit Card,2.0,72.9,21.8,38.0,6.8,6,Champion,4007.74,1117.02,Content Marketing,2024-06,1,0,2024-12-22,9,4,4,485.11,18,8731.98,7224.43,High,6.5
