customer_id,churn_probability,predicted_churn,actual_churn,risk_segment,country,region,industry,company_size,subscription_plan,contract_type,monthly_recurring_revenue,support_tickets,usage_score,login_frequency,nps_score,tenure_months,days_since_last_transaction,total_transactions,total_revenue,total_profit
CUST_016088,0.99989617,1,1,High Risk,Germany,Europe,Manufacturing,Startup,Professional,Annual,90.04,6.0,37.8,16.9,-41.0,9,242,17,2378.34,1655.06
CUST_019729,0.9998958,1,1,High Risk,Other,LATAM,Manufacturing,Startup,Basic,Monthly,36.49,5.0,49.0,16.6,-1.0,8,238,21,1225.6,793.03
CUST_019419,0.9998956,1,1,High Risk,Other,LATAM,Technology,Startup,Basic,Monthly,26.18,6.0,41.2,15.6,-32.0,8,227,17,756.44,439.73
CUST_015592,0.9998956,1,1,High Risk,India,APAC,Other,Startup,Professional,Monthly,84.35,4.0,21.7,7.6,2.0,7,174,19,2905.54,2235.64
CUST_011497,0.99989545,1,1,High Risk,Germany,Europe,Retail,Startup,Basic,Monthly,33.9,8.0,25.3,11.7,-40.0,16,347,18,1024.89,662.35
CUST_009664,0.99989486,1,1,High Risk,USA,North America,Education,Startup,Basic,Monthly,24.77,5.0,34.6,8.1,9.0,19,202,22,900.67,489.73
CUST_012375,0.99989486,1,1,High Risk,UK,Europe,Technology,Startup,Basic,Monthly,35.4,6.0,43.2,17.6,-17.0,6,160,21,1200.31,768.46
CUST_005537,0.9998944,1,1,High Risk,Canada,North America,Manufacturing,Small Business,Basic,Annual,56.29,5.0,24.1,4.0,10.0,3,76,19,1958.24,1373.04
CUST_014281,0.9998938,1,1,High Risk,USA,North America,Healthcare,Startup,Professional,Monthly,96.71,5.0,66.5,5.0,12.0,9,203,19,3058.75,2365.73
CUST_004637,0.9998934,1,1,High Risk,Australia,APAC,Retail,Small Business,Basic,Monthly,44.32,7.0,39.0,8.1,-29.0,8,219,18,1360.76,925.48
CUST_007546,0.9998921,1,1,High Risk,UK,Europe,Healthcare,Startup,Business,Monthly,217.13,9.0,23.8,10.4,-34.0,6,140,20,8091.64,6756.41
CUST_002390,0.99989176,1,1,High Risk,USA,North America,Finance,Startup,Business,Monthly,299.73,5.0,44.7,8.9,6.0,17,289,18,8131.49,6774.58
CUST_011237,0.99989164,1,1,High Risk,USA,North America,Retail,Startup,Basic,Monthly,28.72,0.0,33.9,11.3,1.0,3,65,17,1007.78,677.51
CUST_007003,0.9998915,1,1,High Risk,USA,North America,Technology,Startup,Professional,Annual,103.3,4.0,28.4,12.2,-25.0,6,130,20,3464.7,2717.13
CUST_001188,0.9998915,1,1,High Risk,USA,North America,Retail,Startup,Basic,Monthly,36.69,4.0,31.2,10.7,-29.0,19,304,23,1275.45,877.72
CUST_002370,0.9998907,1,1,High Risk,USA,North America,Finance,Startup,Professional,Monthly,98.17,2.0,45.0,8.6,6.0,9,240,17,2842.52,2270.86
CUST_000137,0.99988985,1,1,High Risk,USA,North America,Education,Startup,Basic,Monthly,28.61,7.0,24.2,5.7,-30.0,7,133,20,1014.88,577.89
CUST_004363,0.9998894,1,1,High Risk,Canada,North America,Technology,Startup,Business,Monthly,212.51,5.0,37.0,11.7,-10.0,12,340,20,7038.23,5713.51
CUST_002463,0.9998889,1,1,High Risk,USA,North America,Finance,Startup,Professional,Monthly,77.55,4.0,44.7,20.8,3.0,11,310,20,2403.77,1864.66
CUST_007745,0.9998878,1,1,High Risk,USA,North America,Healthcare,Startup,Basic,Monthly,24.18,8.0,53.8,16.8,-26.0,10,196,21,883.35,486.77
CUST_001943,0.9998871,1,1,High Risk,Other,LATAM,Other,Startup,Basic,Annual,28.52,5.0,29.1,7.5,-24.0,7,142,17,792.78,511.88
CUST_009209,0.999887,1,1,High Risk,UK,Europe,Technology,Startup,Business,Annual,208.81,3.0,56.3,14.7,-2.0,11,290,22,7308.4,5811.23
CUST_008403,0.9998869,1,1,High Risk,Canada,North America,Healthcare,Startup,Professional,Monthly,106.11,2.0,49.3,13.4,17.0,12,201,19,3350.69,2601.04
CUST_017386,0.99988675,1,1,High Risk,USA,North America,Technology,Startup,Basic,Monthly,26.22,6.0,33.0,5.5,1.0,9,231,23,964.15,522.94
CUST_006040,0.9998865,1,1,High Risk,USA,North America,Manufacturing,Startup,Basic,Monthly,36.51,4.0,53.5,17.5,-36.0,10,248,17,922.5,544.4
CUST_008119,0.99988616,1,1,High Risk,USA,North America,Technology,Small Business,Business,Monthly,459.4,9.0,40.1,11.5,-6.0,12,345,19,13806.4,11535.37
CUST_016195,0.9998858,1,1,High Risk,USA,North America,Finance,Startup,Basic,Annual,30.06,5.0,39.4,10.1,-37.0,12,330,19,814.66,462.26
CUST_013066,0.99988556,1,1,High Risk,USA,North America,Retail,Small Business,Professional,Annual,103.75,3.0,42.5,13.5,28.0,10,273,18,2913.8,2201.31
CUST_013501,0.9998852,1,1,High Risk,India,APAC,Manufacturing,Small Business,Basic,Annual,46.39,6.0,40.1,13.3,-11.0,9,204,19,1413.76,867.33
CUST_014052,0.9998851,1,1,High Risk,UK,Europe,Education,Small Business,Business,Annual,462.05,3.0,47.9,10.8,32.0,8,163,19,14718.36,12376.85
CUST_009485,0.99988484,1,1,High Risk,USA,North America,Healthcare,Startup,Basic,Monthly,24.42,2.0,36.1,12.4,-16.0,9,180,19,801.68,482.58
CUST_016239,0.99988437,1,1,High Risk,UK,Europe,Technology,Startup,Professional,Annual,90.43,9.0,13.4,5.1,-31.0,7,137,19,2981.68,2285.45
CUST_003218,0.9998841,1,1,High Risk,USA,North America,Manufacturing,Startup,Professional,Annual,80.31,4.0,36.8,8.9,-17.0,7,142,21,2673.65,1971.05
CUST_003635,0.999884,1,1,High Risk,USA,North America,Manufacturing,Startup,Basic,Monthly,27.37,6.0,38.0,14.2,-22.0,13,225,19,909.97,501.6
CUST_009326,0.99988353,1,1,High Risk,UK,Europe,Other,Startup,Basic,Monthly,32.98,2.0,30.4,10.5,19.0,6,145,19,1087.88,701.24
CUST_016756,0.9998833,1,1,High Risk,USA,North America,Other,Startup,Business,Annual,196.44,4.0,66.6,16.6,-14.0,15,248,18,5366.27,4333.86
CUST_015072,0.9998826,1,1,High Risk,USA,North America,Healthcare,Small Business,Business,Annual,388.68,5.0,51.6,10.9,-10.0,10,277,18,10346.18,8529.82
CUST_016209,0.9998816,1,1,High Risk,USA,North America,Finance,Startup,Basic,Monthly,33.07,4.0,24.8,7.8,-40.0,18,467,19,939.39,603.2
CUST_016654,0.9998802,1,1,High Risk,India,APAC,Other,Startup,Basic,Monthly,28.39,8.0,24.8,4.3,15.0,3,60,19,1062.71,631.2
CUST_004584,0.9998797,1,1,High Risk,USA,North America,Healthcare,Startup,Professional,Monthly,88.78,4.0,54.3,22.7,15.0,8,201,18,2807.45,2127.79
CUST_012741,0.99987924,1,1,High Risk,UK,Europe,Retail,Startup,Business,Monthly,249.03,5.0,63.5,19.5,12.0,11,204,19,7214.76,5914.18
CUST_015398,0.99987864,1,1,High Risk,USA,North America,Technology,Small Business,Basic,Annual,44.15,5.0,42.5,6.9,12.0,12,240,20,1409.19,933.94
CUST_006996,0.9998785,1,1,High Risk,UK,Europe,Manufacturing,Small Business,Basic,Annual,40.73,10.0,41.6,19.6,3.0,8,220,18,1153.89,730.38
CUST_006396,0.9998785,1,1,High Risk,USA,North America,Healthcare,Startup,Basic,Monthly,34.49,2.0,29.4,6.8,16.0,13,297,18,1022.76,660.11
CUST_013482,0.9998784,1,1,High Risk,USA,North America,Technology,Startup,Professional,Monthly,90.41,6.0,49.6,13.5,23.0,10,232,17,2577.58,1971.21
CUST_010545,0.9998784,1,1,High Risk,USA,North America,Other,Startup,Basic,Monthly,31.31,3.0,44.8,7.3,-20.0,15,338,22,1110.67,665.17
CUST_018231,0.99987805,1,1,High Risk,USA,North America,Healthcare,Small Business,Enterprise,Annual,1436.97,8.0,32.4,4.0,-45.0,10,204,22,47428.28,39716.67
CUST_010176,0.9998772,1,1,High Risk,USA,North America,Manufacturing,Startup,Professional,Monthly,103.28,4.0,23.8,2.4,5.0,6,143,20,3576.95,2802.28
CUST_017875,0.9998771,1,1,High Risk,India,APAC,Manufacturing,Startup,Basic,Monthly,24.4,2.0,59.9,13.9,53.0,11,204,17,682.02,391.55
CUST_003771,0.99987626,1,1,High Risk,India,APAC,Technology,Startup,Basic,Annual,29.49,5.0,37.7,9.3,-1.0,3,57,24,1418.46,949.76
CUST_004496,0.99987614,1,1,High Risk,Other,LATAM,Technology,Startup,Professional,Monthly,91.67,5.0,29.6,5.1,-18.0,13,315,18,2497.47,1853.5
CUST_017669,0.9998758,1,1,High Risk,India,APAC,Manufacturing,Small Business,Professional,Monthly,128.62,5.0,39.5,11.7,4.0,11,241,21,3864.25,3006.87
CUST_012035,0.9998758,1,1,High Risk,USA,North America,Finance,Startup,Professional,Monthly,83.78,5.0,43.3,10.7,13.0,12,338,19,2315.78,1763.69
CUST_000543,0.9998753,1,1,High Risk,Australia,APAC,Education,Startup,Basic,Monthly,30.62,3.0,56.9,11.1,9.0,8,213,17,843.8,539.75
CUST_012941,0.99987483,1,1,High Risk,Germany,Europe,Technology,Small Business,Basic,Monthly,61.73,6.0,46.4,17.8,-25.0,8,172,19,1990.2,1451.02
CUST_017505,0.9998745,1,1,High Risk,Canada,North America,Healthcare,Startup,Basic,Monthly,25.76,3.0,41.0,7.8,-20.0,8,226,19,824.7,459.9
CUST_009539,0.9998739,1,1,High Risk,Germany,Europe,Education,Small Business,Professional,Annual,160.02,3.0,58.4,17.6,16.0,10,297,17,3845.07,2982.06
CUST_010513,0.9998735,1,1,High Risk,USA,North America,Manufacturing,Startup,Professional,Monthly,127.26,5.0,56.0,14.9,24.0,14,316,21,4553.71,3602.5
CUST_004887,0.99987245,1,1,High Risk,USA,North America,Real Estate,Startup,Professional,Monthly,100.8,5.0,56.4,22.1,-23.0,8,196,18,3133.21,2421.9
CUST_018105,0.99987245,1,1,High Risk,USA,North America,Retail,Small Business,Business,Monthly,455.17,3.0,56.8,14.7,-17.0,9,251,16,11500.82,9578.17
CUST_009146,0.99987245,1,1,High Risk,UK,Europe,Education,Startup,Business,Monthly,243.6,9.0,26.8,12.7,-12.0,17,290,19,7142.21,5911.87
CUST_009063,0.9998721,1,1,High Risk,USA,North America,Finance,Startup,Professional,Annual,76.68,2.0,18.1,7.5,-16.0,16,450,19,2134.45,1541.68
CUST_008017,0.99987197,1,1,High Risk,Germany,Europe,Healthcare,Mid-Market,Enterprise,Multi-Year,3943.67,2.0,61.0,18.8,-2.0,10,198,17,99044.32,82286.99
CUST_009903,0.99987173,1,1,High Risk,USA,North America,Manufacturing,Startup,Business,Annual,338.66,9.0,53.6,11.9,-23.0,11,168,22,11207.23,9101.92
CUST_012106,0.99987173,1,1,High Risk,UK,Europe,Finance,Startup,Professional,Monthly,77.84,4.0,43.1,7.0,-0.0,6,158,21,2837.58,2040.46
CUST_012627,0.9998715,1,1,High Risk,USA,North America,Finance,Startup,Basic,Monthly,31.39,2.0,34.6,16.3,2.0,2,46,21,1377.46,884.44
CUST_019529,0.9998714,1,1,High Risk,India,APAC,Technology,Startup,Professional,Annual,137.47,5.0,32.7,15.2,10.0,11,255,19,4012.32,3214.32
CUST_010008,0.99987125,1,1,High Risk,Germany,Europe,Finance,Small Business,Professional,Monthly,135.9,7.0,35.1,16.5,-1.0,6,150,17,4074.66,3329.14
CUST_010733,0.99987113,1,1,High Risk,USA,North America,Education,Small Business,Basic,Monthly,40.79,3.0,54.9,18.4,10.0,10,217,17,1159.27,686.61
CUST_013082,0.99987066,1,1,High Risk,USA,North America,Technology,Startup,Professional,Monthly,88.45,3.0,41.1,8.2,-8.0,13,322,21,3133.53,2388.26
CUST_004440,0.9998703,1,1,High Risk,USA,North America,Finance,Startup,Professional,Monthly,100.84,3.0,34.4,4.1,29.0,3,79,20,3774.71,2927.47
CUST_011141,0.99986994,1,1,High Risk,UK,Europe,Real Estate,Small Business,Professional,Annual,204.06,9.0,39.3,9.3,7.0,2,42,19,7529.78,6094.63
CUST_010359,0.9998697,1,1,High Risk,India,APAC,Finance,Startup,Basic,Monthly,30.77,2.0,58.8,17.6,21.0,9,223,20,1073.96,702.5
CUST_013251,0.9998691,1,1,High Risk,UK,Europe,Healthcare,Startup,Basic,Monthly,33.33,2.0,24.2,9.5,9.0,14,354,19,1141.66,777.24
CUST_008413,0.9998691,1,1,High Risk,USA,North America,Healthcare,Small Business,Basic,Monthly,56.25,2.0,35.3,13.4,3.0,14,328,18,1840.92,1337.87
CUST_018729,0.99986887,1,1,High Risk,USA,North America,Education,Small Business,Basic,Monthly,47.77,4.0,44.7,14.7,-27.0,13,296,17,1265.02,872.55
CUST_007990,0.99986887,1,1,High Risk,Australia,APAC,Manufacturing,Startup,Basic,Monthly,23.63,3.0,53.1,14.8,-22.0,9,232,16,664.69,353.11
CUST_010147,0.9998685,1,1,High Risk,Canada,North America,Retail,Startup,Basic,Monthly,27.25,5.0,39.8,14.9,-35.0,12,262,23,999.88,517.43
CUST_013551,0.9998683,1,1,High Risk,USA,North America,Technology,Startup,Basic,Annual,24.18,9.0,49.8,11.6,19.0,12,315,17,619.49,335.58
CUST_015537,0.9998677,1,1,High Risk,Australia,APAC,Manufacturing,Startup,Basic,Monthly,41.36,4.0,19.7,0.0,1.0,9,176,25,1769.62,1214.68
CUST_013782,0.99986756,1,1,High Risk,UK,Europe,Other,Small Business,Business,Annual,372.46,3.0,37.4,11.5,6.0,17,206,18,10001.28,8105.68
CUST_012022,0.99986744,1,1,High Risk,Germany,Europe,Other,Startup,Basic,Monthly,39.29,3.0,34.6,12.5,-16.0,4,99,23,1585.36,1070.49
CUST_001551,0.9998672,1,1,High Risk,UK,Europe,Manufacturing,Startup,Professional,Monthly,101.46,5.0,33.4,8.7,17.0,10,233,17,2817.33,2154.02
CUST_001062,0.99986696,1,1,High Risk,Canada,North America,Other,Startup,Basic,Monthly,38.01,4.0,39.9,13.1,10.0,6,144,18,1228.44,802.82
CUST_004911,0.99986696,1,1,High Risk,USA,North America,Healthcare,Startup,Basic,Monthly,27.01,2.0,42.1,13.6,-1.0,11,180,19,838.86,471.6
CUST_003647,0.9998666,1,1,High Risk,UK,Europe,Education,Startup,Basic,Monthly,31.07,3.0,42.4,8.0,-22.0,15,224,18,902.29,573.65
CUST_012150,0.9998666,1,1,High Risk,India,APAC,Healthcare,Startup,Basic,Annual,36.51,4.0,34.3,10.2,-2.0,15,302,17,1002.85,600.37
CUST_004176,0.9998665,1,1,High Risk,India,APAC,Real Estate,Small Business,Professional,Annual,151.31,5.0,51.7,12.7,3.0,11,269,19,4218.74,3332.84
CUST_017529,0.99986565,1,1,High Risk,USA,North America,Retail,Startup,Basic,Monthly,30.57,1.0,61.5,20.2,6.0,13,218,18,951.86,498.65
CUST_001060,0.9998652,1,1,High Risk,USA,North America,Technology,Small Business,Basic,Monthly,45.0,5.0,33.3,13.4,4.0,3,70,20,1848.96,1309.15
CUST_010274,0.99986506,1,1,High Risk,Other,MEA,Other,Small Business,Basic,Annual,48.62,3.0,45.9,9.2,22.0,2,49,19,1848.0,1326.81
CUST_007955,0.99986506,1,1,High Risk,USA,North America,Education,Startup,Professional,Monthly,91.68,3.0,68.4,13.7,16.0,12,211,19,2633.27,2045.76
CUST_005315,0.99986494,1,1,High Risk,Canada,North America,Education,Startup,Professional,Monthly,94.41,5.0,40.9,8.8,-10.0,14,313,19,3012.63,2373.46
CUST_003674,0.9998648,1,1,High Risk,USA,North America,Finance,Small Business,Business,Monthly,393.06,3.0,56.0,15.0,4.0,10,200,19,12112.26,10115.43
CUST_000007,0.9998646,1,1,High Risk,UK,Europe,Finance,Startup,Basic,Monthly,35.77,9.0,15.1,4.1,-28.0,4,72,20,1364.23,929.1
CUST_006273,0.99986434,1,1,High Risk,USA,North America,Manufacturing,Startup,Basic,Monthly,26.34,6.0,9.9,5.1,7.0,11,308,17,577.75,254.75
CUST_009709,0.99986386,1,1,High Risk,Australia,APAC,Technology,Startup,Business,Monthly,180.48,7.0,26.6,3.1,-17.0,11,239,21,5744.71,4532.85
CUST_008475,0.99986327,1,1,High Risk,UK,Europe,Manufacturing,Startup,Professional,Monthly,72.28,4.0,47.5,17.8,6.0,7,153,17,2174.87,1639.66
CUST_009000,0.99986327,1,1,High Risk,USA,North America,Real Estate,Startup,Professional,Monthly,65.72,4.0,53.7,21.9,22.0,2,47,21,2972.55,2271.89
CUST_007689,0.99986315,1,1,High Risk,Germany,Europe,Healthcare,Startup,Professional,Monthly,105.11,2.0,57.2,20.8,24.0,4,110,23,4275.61,3319.37
CUST_000834,0.9998627,1,1,High Risk,Other,MEA,Technology,Startup,Professional,Monthly,108.54,1.0,40.7,13.7,14.0,13,275,17,3118.29,2466.33
CUST_000673,0.99986255,1,1,High Risk,UK,Europe,Real Estate,Startup,Professional,Monthly,70.58,9.0,33.0,11.6,-28.0,12,349,17,2094.82,1572.46
CUST_011874,0.99986243,1,1,High Risk,Canada,North America,Technology,Startup,Basic,Annual,21.49,5.0,38.1,9.2,-33.0,4,74,22,856.51,453.43
CUST_000220,0.99986184,1,1,High Risk,USA,North America,Technology,Startup,Business,Monthly,346.19,1.0,37.1,8.2,12.0,9,195,18,11508.73,9633.79
CUST_014792,0.99986136,1,1,High Risk,USA,North America,Retail,Small Business,Business,Multi-Year,363.95,1.0,56.3,5.6,1.0,9,209,20,10857.43,8790.26
CUST_016527,0.9998609,1,1,High Risk,UK,Europe,Technology,Startup,Professional,Monthly,106.83,3.0,14.9,2.5,11.0,8,208,14,2528.96,2016.4
CUST_011632,0.99986064,1,1,High Risk,India,APAC,Technology,Startup,Professional,Monthly,101.12,6.0,29.3,4.4,-5.0,7,174,21,3671.31,2877.09
CUST_017550,0.99986017,1,1,High Risk,USA,North America,Healthcare,Small Business,Business,Annual,428.85,1.0,59.1,5.7,24.0,15,342,23,15502.84,12942.46
CUST_007824,0.9998599,1,1,High Risk,Germany,Europe,Manufacturing,Small Business,Business,Annual,381.16,8.0,44.3,9.1,-29.0,14,289,19,11185.54,9143.46
CUST_011293,0.9998597,1,1,High Risk,USA,North America,Healthcare,Mid-Market,Enterprise,Annual,4201.25,5.0,58.1,15.8,-9.0,7,181,15,107509.62,91189.07
CUST_004006,0.9998597,1,1,High Risk,Germany,Europe,Healthcare,Small Business,Business,Annual,372.07,4.0,58.5,12.8,-6.0,17,310,21,10703.95,8569.59
CUST_018616,0.99985886,1,1,High Risk,Germany,Europe,Technology,Startup,Basic,Annual,37.88,9.0,41.7,8.9,-23.0,13,224,17,1002.72,579.0
CUST_013971,0.99985886,1,1,High Risk,USA,North America,Other,Startup,Basic,Annual,31.13,3.0,53.4,17.1,-5.0,12,240,21,934.52,557.57
CUST_007889,0.99985886,1,1,High Risk,USA,North America,Education,Small Business,Basic,Monthly,43.97,5.0,47.8,17.8,-26.0,16,239,18,1213.65,731.6
CUST_010101,0.99985886,1,1,High Risk,UK,Europe,Technology,Startup,Professional,Monthly,109.86,3.0,40.5,9.1,21.0,10,251,20,3487.69,2663.74
CUST_012633,0.9998585,1,1,High Risk,UK,Europe,Other,Startup,Professional,Annual,84.47,3.0,58.1,18.3,29.0,12,214,17,2219.01,1704.94
CUST_019627,0.9998579,1,1,High Risk,UK,Europe,Technology,Startup,Basic,Annual,30.65,6.0,37.4,6.6,-33.0,8,130,22,1099.4,668.13
CUST_012809,0.9998578,1,1,High Risk,USA,North America,Technology,Startup,Professional,Monthly,81.88,3.0,39.9,15.3,32.0,10,221,18,2262.38,1742.73
CUST_006208,0.9998572,1,1,High Risk,USA,North America,Technology,Startup,Basic,Monthly,31.81,4.0,25.8,7.3,-16.0,16,192,18,936.78,585.72
CUST_006102,0.99985707,1,1,High Risk,USA,North America,Other,Small Business,Professional,Monthly,145.49,6.0,41.0,8.0,-20.0,18,275,21,4482.71,3618.87
CUST_013882,0.9998566,1,1,High Risk,USA,North America,Healthcare,Startup,Basic,Monthly,28.6,4.0,42.8,9.8,20.0,9,240,17,822.5,508.67
CUST_010179,0.9998565,1,1,High Risk,USA,North America,Retail,Small Business,Basic,Monthly,74.31,5.0,63.8,20.7,7.0,7,189,16,2105.25,1552.4
CUST_002159,0.99985635,1,1,High Risk,UK,Europe,Retail,Small Business,Business,Multi-Year,493.33,2.0,54.8,14.9,20.0,6,132,17,12382.69,10043.26
CUST_008008,0.99985576,1,1,High Risk,India,APAC,Other,Startup,Basic,Monthly,30.17,4.0,57.7,8.4,8.0,8,174,19,1028.86,683.75
CUST_001937,0.9998553,1,1,High Risk,USA,North America,Technology,Startup,Professional,Monthly,65.29,4.0,31.6,5.7,-50.0,4,92,20,2362.08,1727.57
CUST_015949,0.9998553,1,1,High Risk,USA,North America,Retail,Startup,Professional,Monthly,97.97,4.0,26.0,10.1,-17.0,6,160,16,2828.84,2236.28
CUST_018993,0.99985456,1,1,High Risk,USA,North America,Technology,Small Business,Business,Annual,385.6,6.0,54.6,11.7,-19.0,12,170,20,11822.44,9657.36
CUST_015784,0.99985373,1,1,High Risk,Germany,Europe,Finance,Startup,Basic,Monthly,29.14,7.0,35.8,9.0,4.0,9,230,18,842.97,504.84
CUST_014950,0.9998535,1,1,High Risk,Australia,APAC,Other,Startup,Basic,Annual,38.96,3.0,34.7,14.8,19.0,11,218,17,1031.61,689.04
CUST_003778,0.9998535,1,1,High Risk,USA,North America,Manufacturing,Small Business,Professional,Monthly,168.44,7.0,45.0,12.6,-6.0,9,170,23,6905.86,5594.51
CUST_016342,0.9998534,1,1,High Risk,Germany,Europe,Retail,Startup,Business,Monthly,162.91,5.0,64.0,21.0,-2.0,6,126,21,5765.99,4640.27
CUST_010381,0.9998534,1,1,High Risk,UK,Europe,Education,Startup,Basic,Monthly,26.45,2.0,34.3,12.2,-9.0,7,153,18,876.08,477.58
CUST_009747,0.99985325,1,1,High Risk,USA,North America,Manufacturing,Startup,Professional,Annual,77.28,4.0,32.5,3.9,7.0,19,351,17,2013.41,1492.86
CUST_012448,0.999853,1,1,High Risk,Germany,Europe,Real Estate,Startup,Professional,Monthly,69.7,5.0,46.1,16.3,-19.0,8,198,15,1991.06,1494.24
CUST_002328,0.999853,1,1,High Risk,USA,North America,Manufacturing,Startup,Professional,Monthly,75.24,5.0,25.7,5.7,-21.0,9,144,20,2568.99,1919.46
CUST_005085,0.999853,1,1,High Risk,USA,North America,Manufacturing,Mid-Market,Business,Annual,1014.98,3.0,57.4,19.7,-9.0,13,274,19,26475.07,22205.99
CUST_014969,0.9998522,1,1,High Risk,USA,North America,Manufacturing,Mid-Market,Business,Annual,847.03,2.0,59.0,20.6,15.0,10,258,17,21184.36,17743.07
CUST_011476,0.99985206,1,1,High Risk,USA,North America,Finance,Small Business,Business,Monthly,503.57,3.0,61.3,20.6,18.0,10,284,18,14455.62,12072.92
