customer_id,rfm_segment,recency,frequency,monetary,average_order_value,rfm_score,customer_lifetime_value,usage_score,login_frequency,nps_score,support_tickets,subscription_plan,contract_type,country
CUST_003009,Big Spenders,59,16,269832.53,16864.533125,235,587305.01,76.0,18.2,33.0,4.0,Enterprise,Annual,Canada
CUST_018332,Big Spenders,47,12,267951.2,22329.266666666666,215,251262.04,74.1,16.9,10.0,3.0,Enterprise,Annual,USA
CUST_011568,Big Spenders,69,12,264875.74,22072.978333333333,215,763028.18,100.0,29.3,59.0,3.0,Enterprise,Annual,Australia
CUST_009233,At Risk High Value,324,19,262132.58,13796.451578947368,155,224477.89,73.0,30.9,-11.0,6.0,Enterprise,Annual,Canada
CUST_015771,At Risk High Value,48,18,261077.02,14504.278888888888,255,149510.2,56.5,11.0,5.0,1.0,Enterprise,Annual,Germany
CUST_007025,At Risk High Value,179,20,260396.87,13019.843499999999,155,38170.04,40.0,13.2,-29.0,8.0,Enterprise,Annual,USA
CUST_012710,At Risk High Value,45,17,260039.22999999998,15296.425294117646,245,1011538.56,82.8,24.8,41.0,3.0,Enterprise,Annual,USA
CUST_018251,At Risk High Value,49,17,257295.16999999998,15135.009999999998,245,340205.69,100.0,25.4,23.0,1.0,Enterprise,Annual,USA
CUST_002840,At Risk High Value,46,21,255804.34,12181.159047619047,255,663156.41,99.9,31.0,23.0,2.0,Enterprise,Annual,Other
CUST_017593,Big Spenders,53,13,255776.03,19675.07923076923,225,356634.05,82.6,19.5,36.0,5.0,Enterprise,Monthly,Germany
CUST_008209,At Risk High Value,46,17,255650.76,15038.28,245,124292.67,65.7,19.2,7.0,3.0,Enterprise,Annual,USA
CUST_000058,Big Spenders,58,15,255482.46000000002,17032.164,225,1054939.54,89.6,28.2,68.0,2.0,Enterprise,Monthly,USA
CUST_009730,Big Spenders,53,14,249403.47,17814.533571428572,225,284909.38,74.2,25.5,-9.0,3.0,Enterprise,Annual,UK
CUST_004202,At Risk High Value,47,19,249108.53,13110.975263157894,255,603665.41,79.3,27.0,29.0,3.0,Enterprise,Annual,Other
CUST_000973,Big Spenders,47,16,248136.28,15508.5175,235,417453.64,56.0,30.2,-8.0,2.0,Enterprise,Monthly,Germany
CUST_001797,At Risk High Value,55,17,246881.16,14522.421176470589,245,349348.93,77.1,16.0,45.0,3.0,Enterprise,Annual,Germany
CUST_005842,Big Spenders,53,14,246699.34,17621.38142857143,225,365322.86,76.4,24.5,16.0,7.0,Enterprise,Monthly,Germany
CUST_012539,Big Spenders,54,15,246541.66,16436.110666666667,235,328960.79,87.4,19.8,56.0,4.0,Enterprise,Monthly,USA
CUST_010136,At Risk High Value,45,17,242693.06,14276.062352941177,245,297763.02,61.3,24.9,3.0,5.0,Enterprise,Multi-Year,Germany
CUST_019033,At Risk High Value,48,21,241779.94,11513.330476190476,255,337123.03,94.4,29.2,11.0,5.0,Enterprise,Multi-Year,USA
CUST_010273,At Risk High Value,46,19,236828.35,12464.65,255,176636.3,68.1,14.9,53.0,0.0,Enterprise,Annual,Canada
CUST_012892,Big Spenders,50,15,235876.9,15725.126666666667,235,435191.06,73.5,25.7,45.0,2.0,Enterprise,Annual,USA
CUST_007576,At Risk High Value,210,20,235674.89,11783.7445,155,212767.73,67.6,21.6,26.0,2.0,Enterprise,Multi-Year,USA
CUST_012444,At Risk High Value,85,19,235504.9,12394.994736842105,255,218245.92,78.7,25.4,-14.0,4.0,Enterprise,Multi-Year,UK
CUST_002902,At Risk High Value,62,17,234893.23,13817.248823529413,245,229532.28,58.6,20.8,33.0,3.0,Enterprise,Monthly,Germany
CUST_012218,Big Spenders,54,15,234751.7,15650.113333333335,235,394759.27,97.8,24.9,7.0,2.0,Enterprise,Monthly,USA
CUST_015971,At Risk High Value,62,17,234557.63,13797.507647058825,245,661788.27,71.6,28.5,35.0,2.0,Enterprise,Annual,USA
CUST_016926,At Risk High Value,45,17,233777.03,13751.59,245,365227.16,71.0,19.2,31.0,1.0,Enterprise,Monthly,UK
CUST_005444,Big Spenders,61,14,231248.14,16517.72428571429,225,393816.1,61.0,14.0,55.0,3.0,Enterprise,Annual,India
CUST_002467,At Risk High Value,51,17,230739.05,13572.885294117646,245,234936.7,82.9,22.0,31.0,5.0,Enterprise,Annual,India
CUST_000599,At Risk High Value,46,20,229934.8,11496.74,255,198922.42,68.8,17.8,55.0,1.0,Enterprise,Annual,USA
CUST_017416,At Risk High Value,46,16,229354.84,14334.6775,245,126411.41,61.8,19.5,14.0,1.0,Enterprise,Multi-Year,USA
CUST_018048,Big Spenders,64,15,228931.47,15262.098,235,991847.1,97.2,26.8,25.0,3.0,Enterprise,Monthly,USA
CUST_016033,At Risk High Value,50,17,228123.93,13419.054705882352,245,64980.73,44.8,13.4,13.0,4.0,Enterprise,Annual,Germany
CUST_010704,Big Spenders,59,14,226095.09,16149.649285714286,225,180965.36,51.6,12.0,1.0,0.0,Enterprise,Annual,Canada
CUST_002685,At Risk High Value,49,18,223420.88,12412.271111111111,245,232685.81,84.1,24.4,42.0,2.0,Enterprise,Annual,USA
CUST_017421,Big Spenders,51,14,223371.25,15955.089285714286,225,130367.37,74.9,25.4,-17.0,6.0,Enterprise,Annual,USA
CUST_005723,Big Spenders,52,15,222550.05,14836.67,235,108670.17,64.0,19.4,-8.0,5.0,Enterprise,Annual,UK
CUST_014964,Big Spenders,60,15,222548.65,14836.576666666666,235,472285.9,89.9,29.5,40.0,1.0,Enterprise,Multi-Year,Germany
CUST_005783,At Risk High Value,49,18,220329.6,12240.533333333333,245,310516.1,72.4,16.8,24.0,4.0,Enterprise,Annual,UK
CUST_018660,At Risk High Value,81,16,220281.76,13767.61,245,73003.87,51.2,15.0,23.0,3.0,Enterprise,Annual,Canada
CUST_000775,At Risk High Value,50,17,219074.0,12886.70588235294,245,259004.69,71.2,15.8,42.0,3.0,Enterprise,Monthly,Canada
CUST_016230,Big Spenders,90,14,219019.04,15644.217142857144,125,971820.98,99.0,31.0,40.0,1.0,Enterprise,Multi-Year,UK
CUST_012964,At Risk High Value,48,17,218936.68,12878.628235294118,245,131959.26,59.9,20.0,40.0,3.0,Enterprise,Annual,USA
CUST_017766,At Risk High Value,52,20,217834.84,10891.742,255,93757.12,71.4,20.0,-16.0,1.0,Enterprise,Multi-Year,Germany
CUST_001666,At Risk High Value,74,17,217577.47999999998,12798.675294117646,245,112765.76,64.5,10.7,27.0,2.0,Enterprise,Annual,USA
CUST_005862,At Risk High Value,50,22,217432.79,9883.308636363638,255,270251.6,77.2,29.7,31.0,7.0,Enterprise,Multi-Year,Germany
CUST_011171,Big Spenders,201,15,216081.73,14405.448666666667,135,158863.4,71.8,21.5,28.0,0.0,Enterprise,Monthly,USA
CUST_018786,Big Spenders,54,12,215372.71,17947.725833333334,215,229905.86,71.6,20.6,62.0,2.0,Enterprise,Multi-Year,Canada
CUST_013325,At Risk High Value,46,21,214722.21,10224.867142857143,255,68412.23,70.5,17.6,-26.0,6.0,Enterprise,Monthly,USA
CUST_011389,Big Spenders,55,16,213537.79,13346.111875,235,439453.94,86.5,28.8,74.0,0.0,Enterprise,Monthly,UK
CUST_003114,Big Spenders,85,16,213350.73,13334.420625,235,152157.87,77.4,24.0,14.0,5.0,Enterprise,Annual,Canada
CUST_000598,Big Spenders,46,16,212962.14,13310.13375,235,345891.68,76.8,20.9,35.0,2.0,Enterprise,Multi-Year,USA
CUST_013319,At Risk High Value,297,21,212538.44,10120.878095238095,155,153909.91,89.0,15.9,63.0,0.0,Enterprise,Annual,USA
CUST_002308,Big Spenders,48,16,212170.66,13260.66625,235,100916.98,70.4,20.4,5.0,5.0,Enterprise,Multi-Year,USA
CUST_002018,At Risk High Value,52,19,212148.26,11165.697894736842,255,80970.24,58.3,12.6,5.0,3.0,Enterprise,Annual,USA
CUST_016951,At Risk High Value,47,17,211717.63,12453.978235294118,245,286390.44,74.8,21.6,59.0,3.0,Enterprise,Annual,Canada
CUST_016851,At Risk High Value,52,19,211432.72,11128.037894736843,255,716186.05,81.2,31.0,52.0,1.0,Enterprise,Multi-Year,Germany
CUST_000339,Big Spenders,54,16,211380.23,13211.264375,235,458118.36,88.0,26.1,39.0,2.0,Enterprise,Monthly,USA
CUST_010500,At Risk High Value,50,19,210978.04,11104.107368421053,255,118896.41,66.3,20.3,1.0,3.0,Enterprise,Annual,India
CUST_006772,At Risk High Value,85,17,210962.58000000002,12409.563529411766,245,231436.19,79.3,27.9,26.0,3.0,Enterprise,Annual,USA
CUST_005449,At Risk High Value,45,17,210864.1,12403.770588235295,245,773568.22,86.5,28.2,32.0,3.0,Enterprise,Annual,UK
CUST_001917,Big Spenders,47,13,210587.35,16199.026923076923,215,199479.33,68.0,15.3,32.0,6.0,Enterprise,Annual,Other
CUST_019179,Big Spenders,56,13,209810.28,16139.252307692308,225,84661.02,60.5,11.9,28.0,3.0,Enterprise,Multi-Year,USA
CUST_014213,Big Spenders,53,16,209571.39,13098.211875,235,56447.9,64.9,20.4,11.0,7.0,Enterprise,Annual,USA
CUST_000006,At Risk High Value,52,17,207644.57,12214.386470588235,245,187340.82,77.7,27.0,6.0,5.0,Enterprise,Monthly,Canada
CUST_007701,Big Spenders,114,12,207597.7,17299.808333333334,115,120706.47,60.0,17.9,20.0,3.0,Enterprise,Monthly,Germany
CUST_008018,Big Spenders,257,12,207040.28,17253.356666666667,115,228656.17,53.7,21.1,19.0,3.0,Enterprise,Annual,India
CUST_014185,Big Spenders,426,15,206768.41999999998,13784.561333333333,135,63717.33,48.8,18.4,7.0,2.0,Enterprise,Monthly,UK
CUST_006711,Big Spenders,48,15,205151.98,13676.798666666667,235,215622.99,65.2,23.8,21.0,3.0,Enterprise,Monthly,Germany
CUST_018527,Big Spenders,54,13,204808.69,15754.514615384616,225,175578.93,69.1,25.7,16.0,5.0,Enterprise,Annual,Canada
CUST_005635,At Risk High Value,48,20,204367.95,10218.397500000001,255,301479.55,100.0,20.0,23.0,0.0,Enterprise,Monthly,Other
CUST_013756,Big Spenders,66,14,204283.36,14591.66857142857,225,183351.16,71.0,21.8,-2.0,2.0,Enterprise,Monthly,Australia
CUST_013926,Big Spenders,67,15,204163.89,13610.926000000001,235,253771.38,73.5,19.7,32.0,1.0,Enterprise,Multi-Year,Canada
CUST_015858,Big Spenders,65,15,203205.19,13547.012666666667,235,597581.09,100.0,26.9,52.0,1.0,Enterprise,Multi-Year,UK
CUST_000664,Big Spenders,49,16,201883.37,12617.710625,235,299180.36,77.0,22.2,35.0,0.0,Enterprise,Multi-Year,UK
CUST_001308,Big Spenders,67,15,201373.5,13424.9,225,324408.77,74.3,19.7,33.0,4.0,Enterprise,Multi-Year,Australia
CUST_002464,At Risk High Value,230,18,200138.88,11118.826666666668,145,186778.34,66.3,20.0,5.0,2.0,Enterprise,Annual,Canada
CUST_017548,At Risk High Value,98,17,199210.21,11718.247647058823,145,349778.62,86.8,25.9,55.0,3.0,Enterprise,Monthly,UK
CUST_011572,At Risk High Value,49,17,197654.78,11626.751764705883,245,127385.16,78.2,16.2,9.0,3.0,Enterprise,Multi-Year,USA
CUST_018879,At Risk High Value,55,16,197634.85,12352.178125,245,356273.17,65.3,17.7,12.0,3.0,Enterprise,Multi-Year,Other
CUST_019716,At Risk High Value,50,21,195577.73,9313.225238095238,255,594350.06,69.7,18.2,64.0,4.0,Enterprise,Annual,USA
CUST_013753,Big Spenders,46,13,195518.72,15039.901538461538,225,295834.36,71.8,14.6,17.0,3.0,Enterprise,Monthly,USA
CUST_014892,Big Spenders,59,14,195074.01,13933.857857142857,225,657833.6,78.6,23.5,22.0,2.0,Enterprise,Multi-Year,USA
CUST_000962,Big Spenders,45,14,194256.41,13875.457857142857,325,268877.03,84.0,22.2,20.0,3.0,Enterprise,Annual,USA
CUST_007588,Big Spenders,48,15,194030.25,12935.35,235,661758.18,99.4,31.0,19.0,3.0,Enterprise,Annual,USA
CUST_011065,Big Spenders,52,16,193802.76,12112.6725,235,83900.06,62.8,20.5,-20.0,2.0,Enterprise,Annual,Canada
CUST_002819,Big Spenders,503,15,193646.27,12909.751333333332,125,47851.69,43.3,11.0,-0.0,8.0,Enterprise,Multi-Year,India
CUST_005502,Big Spenders,49,15,192136.18,12809.078666666666,235,395888.69,80.4,23.9,32.0,2.0,Enterprise,Annual,USA
CUST_007442,At Risk High Value,88,17,191404.65,11259.097058823529,145,94262.54,65.1,24.0,7.0,3.0,Enterprise,Monthly,Germany
CUST_013121,Big Spenders,66,14,191159.01,13654.215,225,164585.07,70.0,20.9,32.0,4.0,Enterprise,Annual,USA
CUST_019145,Big Spenders,83,15,190985.43,12732.362,235,128081.25,61.9,10.2,57.0,3.0,Enterprise,Multi-Year,UK
CUST_010549,Big Spenders,46,16,190918.83000000002,11932.426875000001,235,434013.42,79.2,25.1,3.0,5.0,Enterprise,Annual,UK
CUST_002421,Big Spenders,123,15,190493.36000000002,12699.557333333334,125,278263.5,75.3,21.4,36.0,2.0,Enterprise,Annual,India
CUST_005983,Big Spenders,56,14,190333.1,13595.221428571429,225,53868.91,57.7,11.7,-8.0,5.0,Enterprise,Annual,USA
CUST_014421,At Risk High Value,195,17,190316.47,11195.086470588236,145,199811.68,84.1,23.1,8.0,1.0,Enterprise,Multi-Year,UK
CUST_015266,Big Spenders,46,15,190250.62,12683.374666666667,235,229240.28,64.2,21.1,19.0,3.0,Enterprise,Annual,UK
CUST_007014,Big Spenders,96,14,190100.89,13578.635,125,232292.25,80.0,24.1,-4.0,3.0,Enterprise,Annual,USA
CUST_002448,At Risk High Value,53,18,189419.74,10523.318888888889,245,330580.94,87.6,22.6,9.0,4.0,Enterprise,Annual,USA
CUST_004389,Big Spenders,72,13,189214.87,14554.99,215,304737.99,75.6,21.1,47.0,1.0,Enterprise,Monthly,USA
CUST_005072,Big Spenders,63,10,189097.69,18909.769,215,328374.75,73.6,17.7,12.0,3.0,Enterprise,Annual,USA
CUST_003245,At Risk High Value,45,18,188576.42,10476.467777777778,245,570096.52,85.0,24.2,64.0,0.0,Enterprise,Multi-Year,UK
CUST_012092,At Risk High Value,47,17,188203.01,11070.765294117647,245,214023.04,75.9,26.0,12.0,0.0,Enterprise,Annual,USA
CUST_011624,At Risk High Value,49,17,187974.97999999998,11057.351764705882,245,545294.67,88.6,26.0,39.0,4.0,Enterprise,Annual,Germany
CUST_005168,Big Spenders,49,14,187945.4,13424.671428571428,225,840976.13,97.4,29.6,61.0,0.0,Enterprise,Annual,USA
CUST_000730,Big Spenders,46,16,187886.71,11742.919375,235,708016.08,83.6,22.3,23.0,4.0,Enterprise,Annual,Australia
CUST_012031,Big Spenders,45,12,187797.54,15649.795,215,621685.8,92.0,28.8,50.0,1.0,Enterprise,Multi-Year,Germany
CUST_002219,Big Spenders,55,16,187741.2,11733.825,235,567072.7,92.1,25.8,46.0,4.0,Enterprise,Annual,USA
CUST_018397,Big Spenders,69,14,187741.05,13410.074999999999,225,86141.16,73.8,23.6,-8.0,6.0,Enterprise,Multi-Year,Germany
CUST_017147,Big Spenders,100,12,185909.68,15492.473333333333,115,926499.18,91.9,30.2,68.0,0.0,Enterprise,Annual,India
CUST_019200,At Risk High Value,62,16,185865.76,11616.61,245,780018.02,92.2,30.9,46.0,4.0,Enterprise,Multi-Year,Other
CUST_003040,Big Spenders,52,13,185236.85,14248.988461538462,215,369303.71,74.7,28.7,39.0,2.0,Enterprise,Annual,USA
CUST_004701,Big Spenders,50,15,184773.7,12318.246666666668,235,167585.71,59.5,18.3,4.0,0.0,Enterprise,Annual,India
CUST_006280,Big Spenders,112,14,184763.45,13197.389285714287,125,176089.48,73.1,19.2,27.0,5.0,Enterprise,Annual,USA
CUST_018009,At Risk High Value,72,20,184287.03,9214.3515,255,36428.67,65.4,18.5,36.0,3.0,Enterprise,Annual,Other
CUST_012655,Big Spenders,47,13,183647.96,14126.766153846153,225,719774.96,97.8,28.0,41.0,3.0,Enterprise,Multi-Year,UK
CUST_006574,At Risk High Value,51,19,183626.63,9664.55947368421,255,215970.51,82.9,20.8,32.0,1.0,Enterprise,Annual,Canada
CUST_003284,Big Spenders,127,12,183276.31,15273.025833333333,115,188847.2,54.2,15.4,5.0,4.0,Enterprise,Monthly,Australia
CUST_004084,At Risk High Value,73,19,182819.29,9622.067894736843,255,152250.8,89.3,24.4,25.0,4.0,Enterprise,Multi-Year,India
CUST_005984,Big Spenders,45,15,182356.64,12157.109333333334,235,645792.67,79.8,26.6,61.0,3.0,Enterprise,Multi-Year,India
CUST_003082,Big Spenders,92,15,182182.22,12145.481333333333,125,250799.12,67.5,18.6,32.0,1.0,Enterprise,Annual,India
CUST_001574,Big Spenders,45,15,181985.28,12132.352,325,179156.06,78.7,22.5,19.0,5.0,Enterprise,Multi-Year,UK
CUST_019584,At Risk High Value,49,16,181910.72,11369.42,245,472940.77,92.9,23.9,49.0,2.0,Enterprise,Annual,USA
CUST_002338,Big Spenders,56,14,181846.41999999998,12989.029999999999,225,289163.51,71.1,21.6,-14.0,2.0,Enterprise,Annual,USA
CUST_011064,Big Spenders,62,16,181804.03,11362.751875,235,171003.2,72.0,22.4,27.0,3.0,Enterprise,Multi-Year,Other
CUST_014504,At Risk High Value,47,20,181594.1,9079.705,255,474750.74,87.3,30.5,11.0,4.0,Enterprise,Annual,Canada
CUST_013932,Big Spenders,58,15,179778.11,11985.207333333332,235,253541.15,71.7,24.1,13.0,2.0,Enterprise,Annual,Canada
CUST_005767,Big Spenders,61,14,179758.63,12839.902142857143,225,844034.79,100.0,31.0,56.0,0.0,Enterprise,Annual,Canada
CUST_015969,At Risk High Value,108,16,179735.91,11233.494375,145,133036.39,76.1,25.2,-3.0,6.0,Enterprise,Annual,Canada
CUST_015765,Big Spenders,50,13,179471.6,13805.507692307692,225,228135.88,77.6,25.1,33.0,4.0,Enterprise,Annual,Canada
CUST_013691,Big Spenders,55,16,179370.99,11210.686875,235,250147.43,82.1,18.5,46.0,1.0,Enterprise,Annual,UK
CUST_000703,Big Spenders,58,14,179175.66999999998,12798.262142857142,225,813266.75,100.0,31.0,66.0,1.0,Enterprise,Multi-Year,Other
CUST_019370,At Risk High Value,49,17,178049.91,10473.524117647059,245,368419.24,76.9,27.2,12.0,4.0,Enterprise,Annual,Canada
CUST_012293,At Risk High Value,229,23,177598.83000000002,7721.688260869566,155,120515.74,84.3,16.3,63.0,2.0,Enterprise,Annual,India
CUST_003382,At Risk High Value,60,17,177534.66,10443.215294117646,245,46212.56,37.5,17.4,-29.0,4.0,Enterprise,Annual,Germany
CUST_013928,At Risk High Value,106,17,176908.69,10406.393529411765,145,163195.98,87.7,18.8,25.0,2.0,Enterprise,Multi-Year,USA
CUST_001629,Big Spenders,60,14,176833.86000000002,12630.990000000002,225,305408.38,82.0,26.3,18.0,4.0,Enterprise,Annual,UK
CUST_011728,Big Spenders,49,15,176756.29,11783.752666666667,235,164013.2,80.3,25.6,2.0,4.0,Enterprise,Monthly,USA
CUST_018876,Big Spenders,53,15,176676.89,11778.459333333334,235,165160.0,65.9,22.8,10.0,7.0,Enterprise,Multi-Year,Germany
CUST_001972,At Risk High Value,191,17,175678.28,10334.016470588234,145,654913.1,88.0,28.1,61.0,2.0,Enterprise,Multi-Year,USA
CUST_008324,Big Spenders,95,15,175600.99,11706.732666666667,135,346932.53,87.9,25.4,46.0,3.0,Enterprise,Annual,Germany
CUST_007229,Big Spenders,50,16,175325.23,10957.826875,235,121051.47,79.4,19.3,43.0,5.0,Enterprise,Multi-Year,USA
CUST_000430,Big Spenders,47,16,174689.47,10918.091875,235,369172.78,91.6,24.2,36.0,2.0,Enterprise,Multi-Year,UK
CUST_002010,Big Spenders,69,15,174328.34,11621.889333333333,225,229997.62,62.6,15.9,6.0,3.0,Enterprise,Annual,USA
CUST_003663,Big Spenders,59,15,174279.07,11618.604666666668,225,435364.2,78.9,25.9,28.0,5.0,Enterprise,Multi-Year,USA
CUST_016509,Big Spenders,63,14,173993.81,12428.129285714285,225,548470.62,81.2,31.0,26.0,4.0,Enterprise,Multi-Year,UK
CUST_011202,Big Spenders,166,16,173888.75,10868.046875,135,108314.82,68.9,15.3,-5.0,7.0,Enterprise,Multi-Year,USA
CUST_015133,At Risk High Value,53,19,172509.47,9079.445789473684,255,185692.22,73.2,21.7,54.0,3.0,Enterprise,Multi-Year,USA
CUST_015390,Big Spenders,50,14,172464.57,12318.897857142858,225,701429.45,100.0,29.3,56.0,4.0,Enterprise,Annual,Australia
CUST_012335,Big Spenders,116,13,171740.73,13210.825384615386,125,415963.08,71.9,26.3,16.0,5.0,Enterprise,Monthly,UK
CUST_000449,At Risk High Value,51,17,171265.51,10074.441764705884,245,405181.18,100.0,31.0,61.0,5.0,Enterprise,Multi-Year,UK
CUST_003681,Big Spenders,50,14,171218.41999999998,12229.887142857142,225,784760.47,74.0,24.2,64.0,0.0,Enterprise,Annual,USA
CUST_018965,Big Spenders,46,15,171059.41999999998,11403.961333333333,235,715197.44,56.0,28.0,53.0,1.0,Enterprise,Annual,USA
CUST_012246,Big Spenders,63,15,170482.35,11365.49,235,104307.48,68.3,17.9,23.0,3.0,Enterprise,Monthly,UK
CUST_017841,Big Spenders,126,11,170190.84,15471.894545454545,115,176766.28,53.5,12.4,11.0,2.0,Enterprise,Annual,USA
CUST_013849,At Risk High Value,544,20,169593.9,8479.695,155,352596.92,84.2,17.6,31.0,3.0,Enterprise,Multi-Year,USA
CUST_000354,Big Spenders,61,14,169440.58,12102.89857142857,225,527083.36,74.4,26.2,53.0,6.0,Enterprise,Multi-Year,USA
CUST_010789,Big Spenders,59,15,168948.53,11263.235333333334,235,81173.58,68.8,22.1,10.0,6.0,Enterprise,Annual,Other
CUST_017512,Big Spenders,63,13,168836.68,12987.436923076923,225,161015.24,64.1,14.7,-7.0,2.0,Enterprise,Annual,Canada
CUST_002414,Big Spenders,63,12,167422.78,13951.898333333333,215,318203.88,86.0,25.3,19.0,1.0,Enterprise,Monthly,Australia
CUST_016231,At Risk High Value,55,16,167301.38,10456.33625,245,695229.74,100.0,31.0,36.0,1.0,Enterprise,Annual,USA
CUST_009875,At Risk High Value,52,17,167159.22,9832.895294117647,245,621860.48,97.3,31.0,45.0,1.0,Enterprise,Multi-Year,USA
CUST_017967,At Risk High Value,61,16,166705.12,10419.07,245,341845.07,91.3,25.3,67.0,0.0,Enterprise,Multi-Year,USA
CUST_010355,Big Spenders,60,14,166488.57,11892.040714285715,225,691646.23,87.2,20.9,76.0,1.0,Enterprise,Multi-Year,UK
CUST_014805,Big Spenders,52,11,166329.24,15120.839999999998,215,195738.71,66.9,25.4,34.0,4.0,Enterprise,Monthly,Germany
CUST_006721,Big Spenders,55,13,165685.5,12745.038461538461,215,281312.96,78.0,14.2,-1.0,2.0,Enterprise,Annual,USA
CUST_003993,Big Spenders,68,13,165532.47,12733.266923076922,215,305028.21,66.2,23.8,19.0,4.0,Enterprise,Annual,Other
CUST_002334,Big Spenders,56,15,165336.63,11022.442000000001,225,72287.43,53.0,11.5,-15.0,4.0,Enterprise,Multi-Year,India
CUST_008481,Big Spenders,102,12,165069.03,13755.7525,115,478774.42,97.3,27.6,24.0,3.0,Enterprise,Annual,USA
CUST_000049,Big Spenders,52,15,164992.88,10999.525333333333,225,125177.76,72.4,19.0,35.0,4.0,Enterprise,Multi-Year,USA
CUST_003522,Big Spenders,45,12,164662.94,13721.911666666667,215,189331.25,73.0,23.5,6.0,4.0,Enterprise,Monthly,Canada
CUST_015967,Big Spenders,57,12,164645.1,13720.425000000001,215,108033.81,75.0,19.9,32.0,5.0,Enterprise,Annual,USA
CUST_016749,Big Spenders,55,14,164614.86000000002,11758.204285714286,225,549388.83,85.5,28.9,50.0,2.0,Enterprise,Monthly,USA
CUST_001702,Big Spenders,45,13,164510.26,12654.635384615385,315,270999.87,82.3,29.7,42.0,3.0,Enterprise,Annual,Australia
CUST_011893,Big Spenders,50,15,164257.41999999998,10950.494666666666,235,99635.46,76.0,23.3,-1.0,2.0,Enterprise,Annual,USA
CUST_000820,Big Spenders,137,12,162980.43,13581.7025,115,97496.55,64.5,15.0,13.0,3.0,Enterprise,Annual,Germany
CUST_008809,At Risk High Value,48,17,162913.06,9583.121176470588,245,91803.22,63.5,15.4,22.0,1.0,Enterprise,Annual,Other
CUST_002764,Big Spenders,55,15,162637.28,10842.485333333334,225,383300.15,84.0,22.8,41.0,2.0,Enterprise,Monthly,USA
CUST_013587,At Risk High Value,178,18,162363.91999999998,9020.217777777776,155,78637.0,63.6,16.1,8.0,7.0,Enterprise,Annual,UK
CUST_018866,At Risk High Value,89,16,162322.53,10145.158125,145,109328.96,68.5,19.4,20.0,5.0,Enterprise,Multi-Year,USA
CUST_011103,Big Spenders,50,10,162049.88,16204.988000000001,215,117354.45,49.6,12.4,14.0,5.0,Enterprise,Annual,USA
CUST_000100,At Risk High Value,54,17,161860.77,9521.221764705882,245,340609.65,95.9,25.8,32.0,2.0,Enterprise,Annual,India
CUST_019667,Big Spenders,56,14,161633.22,11545.23,225,288085.45,66.0,23.4,37.0,4.0,Enterprise,Multi-Year,UK
CUST_000495,Big Spenders,70,13,161446.66999999998,12418.974615384614,215,325380.64,83.4,30.9,34.0,1.0,Enterprise,Annual,Germany
CUST_004118,Big Spenders,49,15,161141.25,10742.75,235,677694.17,91.7,30.3,38.0,0.0,Enterprise,Multi-Year,Australia
CUST_009594,Big Spenders,45,14,161023.17,11501.655,225,234803.6,87.0,24.1,45.0,5.0,Enterprise,Annual,USA
CUST_004042,Big Spenders,48,10,161019.61000000002,16101.961000000001,215,214926.5,76.7,13.2,20.0,2.0,Enterprise,Annual,USA
