customer_id,last_completed_transaction_date,recency,frequency,monetary,average_order_value,country,region,industry,company_size,subscription_plan,contract_type,monthly_recurring_revenue,customer_lifetime_value,support_tickets,usage_score,login_frequency,nps_score,discount_percentage,tenure_months,customer_acquisition_cost,recency_score,frequency_score,monetary_score,rfm_score,rfm_total_score,rfm_segment
CUST_000016,2024-11-05,57,10,2234.41,223.44099999999997,Australia,APAC,Finance,Mid-Market,Basic,Annual,129.2,1061.04,6.0,64.3,22.5,22.0,7.2,19,4156.21,2,1,2,212,5,Low Value Dormant
CUST_000017,2024-11-27,35,11,180619.88,16419.98909090909,USA,North America,Healthcare,Enterprise,Enterprise,Annual,10055.22,449468.33,3.0,56.0,31.0,32.0,10.6,12,6831.99,3,1,5,315,9,Big Spenders
CUST_000018,2024-11-27,35,11,2487.44,226.13090909090909,UK,Europe,Technology,Small Business,Professional,Monthly,132.96,553.91,8.0,74.4,19.1,31.0,2.1,15,347.27,3,1,2,312,6,Regular Customers
CUST_000019,2024-11-24,38,16,945.62,59.10125,USA,North America,Education,Startup,Basic,Annual,37.64,68.07,2.0,52.4,16.4,2.0,6.5,19,145.52,3,3,1,331,7,Regular Customers
CUST_000020,2024-06-07,208,12,461.36,38.446666666666665,USA,North America,Technology,Startup,Basic,Monthly,25.3,44.85,5.0,48.9,10.9,15.0,3.2,10,113.97,1,1,1,111,3,Low Value Dormant
CUST_000021,2024-11-09,53,15,480.51,32.034,UK,Europe,Other,Startup,Basic,Annual,20.79,65.99,6.0,41.8,21.3,-10.0,8.9,25,61.11,2,2,1,221,5,Low Value Dormant
CUST_000022,2024-08-01,153,19,2858.0,150.42105263157896,USA,North America,Education,Startup,Professional,Monthly,90.62,224.83,3.0,45.6,19.1,-4.0,2.0,19,201.48,1,5,3,153,9,Needs Attention
CUST_000023,2024-11-05,57,19,5741.51,302.1847368421053,USA,North America,Retail,Small Business,Professional,Monthly,172.92,1628.74,0.0,61.5,20.2,54.0,1.1,17,437.86,2,5,3,253,10,Needs Attention
CUST_000024,2024-12-06,26,19,12142.28,639.0673684210527,UK,Europe,Technology,Small Business,Business,Monthly,354.45,2486.21,6.0,75.2,26.1,27.0,1.8,14,205.76,4,5,4,454,13,Champions
CUST_000025,2024-12-21,11,20,6074.97,303.74850000000004,Other,LATAM,Retail,Small Business,Professional,Monthly,155.98,276.36,6.0,48.2,12.4,-20.0,2.2,5,337.54,5,5,3,553,13,Potential Loyalists
CUST_000026,2024-11-07,55,13,673.48,51.80615384615385,Australia,APAC,Healthcare,Startup,Basic,Monthly,35.53,331.39,4.0,72.0,23.3,12.0,3.0,23,157.52,2,1,1,211,4,Low Value Dormant
CUST_000027,2024-12-04,28,13,926.3,71.25384615384615,USA,North America,Healthcare,Startup,Basic,Annual,37.95,75.04,7.0,51.4,10.1,-37.0,3.9,12,333.43,4,1,1,411,6,New or Promising
CUST_000028,2024-12-02,30,20,1344.75,67.2375,USA,North America,Education,Startup,Basic,Monthly,33.91,64.96,4.0,33.2,18.0,-35.0,0.0,10,151.4,3,5,2,352,10,Steady Customers
CUST_000029,2023-09-20,469,23,2414.68,104.98608695652173,USA,North America,Finance,Startup,Professional,Annual,85.83,928.35,3.0,70.6,22.6,11.0,5.9,30,191.37,1,5,2,152,8,Needs Attention
CUST_000030,2024-12-10,22,13,7101.87,546.2976923076923,USA,North America,Finance,Mid-Market,Professional,Multi-Year,345.07,1137.01,0.0,53.6,16.3,-6.0,14.0,10,1183.17,4,1,4,414,9,Steady Customers
CUST_000031,2024-11-11,51,15,666.61,44.440666666666665,USA,North America,Education,Startup,Basic,Monthly,27.51,141.8,5.0,61.3,20.4,-7.0,0.0,24,33.15,2,2,1,221,5,Low Value Dormant
CUST_000032,2024-10-28,65,15,21166.25,1411.0833333333333,USA,North America,Technology,Mid-Market,Business,Monthly,967.11,9221.74,3.0,46.0,18.6,5.0,5.6,29,2295.88,2,2,4,224,8,Needs Attention
CUST_000033,2024-12-29,3,20,2281.0,114.05,UK,Europe,Retail,Small Business,Basic,Annual,56.23,128.55,5.0,39.8,12.1,-10.0,9.7,2,157.65,5,5,2,552,12,Potential Loyalists
CUST_000034,2024-12-30,2,15,861.33,57.422000000000004,Australia,APAC,Retail,Startup,Basic,Monthly,24.87,95.11,6.0,59.4,16.3,17.0,2.1,1,59.1,5,2,1,521,8,New or Promising
CUST_000035,2024-12-16,16,12,7192.7,599.3916666666667,Canada,North America,Finance,Mid-Market,Professional,Annual,321.99,1733.5,6.0,56.0,13.1,4.0,7.4,5,2070.36,4,1,4,414,9,Steady Customers
CUST_000036,2024-11-23,39,16,10897.74,681.10875,Other,MEA,Education,Small Business,Business,Annual,453.94,1977.11,5.0,72.8,21.9,8.0,8.1,19,471.5,3,3,4,334,10,Steady Customers
CUST_000037,2024-11-05,57,14,621.24,44.37428571428571,USA,North America,Other,Startup,Basic,Annual,28.6,62.42,3.0,43.0,18.8,25.0,4.4,27,134.39,2,2,1,221,5,Low Value Dormant
CUST_000038,2024-12-14,18,17,28169.35,1657.020588235294,Other,MEA,Finance,Mid-Market,Business,Multi-Year,988.52,23916.69,4.0,76.4,30.0,48.0,12.9,8,1236.81,4,4,5,445,13,Champions
CUST_000039,2024-11-30,32,13,802.23,61.71,UK,Europe,Finance,Startup,Basic,Monthly,32.99,99.27,3.0,56.0,16.8,26.0,1.9,15,98.79,3,1,1,311,5,Regular Customers
CUST_000040,2024-10-10,83,19,2732.58,143.82,USA,North America,Retail,Startup,Professional,Monthly,87.08,280.9,3.0,40.9,9.7,13.0,0.0,26,135.28,2,5,2,252,9,Needs Attention
CUST_000041,2024-12-02,30,16,8182.55,511.409375,Other,MEA,Manufacturing,Mid-Market,Professional,Annual,307.48,3024.67,3.0,74.1,22.4,34.0,9.5,13,2828.32,3,3,4,334,10,Steady Customers
CUST_000042,2024-11-11,51,20,34178.73,1708.9365000000003,UK,Europe,Manufacturing,Mid-Market,Business,Annual,1284.09,8927.48,4.0,44.6,20.6,0.0,12.4,31,1038.75,2,5,5,255,12,At Risk High Value
CUST_000043,2024-11-11,51,12,749.3,62.44166666666666,USA,North America,Healthcare,Startup,Basic,Annual,31.56,66.82,3.0,45.4,14.2,7.0,9.8,3,77.99,2,1,1,211,4,Low Value Dormant
CUST_000044,2024-11-08,54,13,2229.88,171.52923076923076,USA,North America,Technology,Startup,Professional,Annual,106.09,394.54,4.0,70.5,26.1,33.0,7.4,20,80.26,2,1,2,212,5,Low Value Dormant
CUST_000045,2024-12-10,22,13,2332.64,179.43384615384613,USA,North America,Other,Mid-Market,Basic,Multi-Year,113.04,508.38,8.0,62.0,20.1,-3.0,15.9,8,3345.25,4,1,2,412,7,New or Promising
CUST_000046,2024-07-10,175,20,3140.65,157.0325,Other,MEA,Healthcare,Startup,Professional,Monthly,94.51,239.55,4.0,56.8,14.9,-10.0,1.4,19,325.56,1,5,3,153,9,Needs Attention
CUST_000047,2024-12-12,20,17,1190.61,70.03588235294117,USA,North America,Manufacturing,Startup,Basic,Monthly,36.58,88.82,5.0,46.1,12.5,-1.0,1.9,12,168.53,4,4,2,442,10,Potential Loyalists
CUST_000048,2024-05-17,229,13,8759.69,673.8223076923077,Other,LATAM,Education,Small Business,Business,Monthly,423.34,832.23,5.0,40.4,15.6,-27.0,2.1,11,453.34,1,1,4,114,6,Needs Attention
CUST_000049,2024-11-10,52,15,164992.88,10999.525333333333,USA,North America,Healthcare,Enterprise,Enterprise,Multi-Year,8314.39,125177.76,4.0,72.4,19.0,35.0,18.7,23,12454.26,2,2,5,225,9,Big Spenders
CUST_000050,2024-12-25,7,20,1113.84,55.69199999999999,USA,North America,Manufacturing,Startup,Basic,Monthly,24.45,55.39,4.0,52.6,19.6,-15.0,1.0,1,162.06,5,5,2,552,12,Potential Loyalists
CUST_000051,2024-12-18,14,12,5695.58,474.63166666666666,USA,North America,Technology,Mid-Market,Professional,Monthly,248.78,3559.75,4.0,68.1,18.0,39.0,2.7,6,1065.74,5,1,3,513,9,New or Promising
CUST_000052,2024-11-21,41,16,6950.13,434.383125,USA,North America,Other,Small Business,Professional,Monthly,207.08,733.57,6.0,45.8,10.7,6.0,4.0,2,650.56,3,3,4,334,10,Steady Customers
CUST_000053,2024-12-27,5,19,2021.06,106.37157894736842,USA,North America,Technology,Small Business,Basic,Monthly,49.19,235.92,4.0,54.5,20.0,5.0,1.2,3,199.01,5,5,2,552,12,Potential Loyalists
CUST_000054,2024-12-15,17,18,16881.2,937.8444444444444,Australia,APAC,Finance,Mid-Market,Professional,Annual,555.2,1667.44,6.0,59.7,14.3,12.0,9.6,10,3194.59,4,4,4,444,12,Champions
CUST_000055,2024-12-25,7,15,274791.36,18319.424,USA,North America,Retail,Enterprise,Enterprise,Annual,9161.66,298602.25,1.0,94.0,30.9,21.0,12.0,2,8966.81,5,2,5,525,12,Big Spenders
CUST_000056,2024-11-21,41,22,921.65,41.893181818181816,Germany,Europe,Education,Startup,Basic,Monthly,26.34,120.29,5.0,58.9,22.7,6.0,0.9,28,34.4,3,5,1,351,9,Steady Customers
CUST_000057,2024-11-29,33,21,7800.84,371.4685714285714,Germany,Europe,Technology,Startup,Business,Annual,232.45,570.4,4.0,44.5,7.9,18.0,4.3,23,157.9,3,5,4,354,12,Loyal High Value
CUST_000058,2024-11-04,58,15,255482.46000000002,17032.164,USA,North America,Finance,Enterprise,Enterprise,Monthly,10954.72,1054939.54,2.0,89.6,28.2,68.0,3.7,30,15655.25,2,2,5,225,9,Big Spenders
CUST_000059,2024-12-02,30,17,5642.87,331.9335294117647,Germany,Europe,Healthcare,Small Business,Professional,Monthly,192.53,2920.53,1.0,83.1,31.0,17.0,1.4,18,1031.32,3,4,3,343,10,Steady Customers
CUST_000060,2024-12-03,29,18,6307.34,350.40777777777777,India,APAC,Healthcare,Small Business,Professional,Annual,176.37,1502.41,3.0,56.9,26.9,-3.0,8.0,16,648.7,4,4,3,443,11,Potential Loyalists
CUST_000061,2024-11-10,52,12,659.95,54.99583333333334,Canada,North America,Education,Small Business,Basic,Annual,37.31,598.27,1.0,70.1,22.5,52.0,8.6,20,444.48,2,1,1,211,4,Low Value Dormant
CUST_000062,2024-12-19,13,18,10442.16,580.12,USA,North America,Technology,Mid-Market,Professional,Monthly,271.36,1565.91,6.0,56.7,15.6,-17.0,1.9,4,2477.19,5,4,4,544,13,Champions
CUST_000063,2024-11-27,35,16,30305.45,1894.090625,UK,Europe,Manufacturing,Mid-Market,Business,Annual,1208.65,8236.73,5.0,71.5,20.5,-10.0,8.0,17,1168.89,3,3,5,335,11,Big Spenders
CUST_000064,2024-11-14,48,10,34339.44,3433.9440000000004,Germany,Europe,Education,Enterprise,Business,Multi-Year,2447.84,39447.88,5.0,83.1,20.7,20.0,16.2,20,2322.15,2,1,5,215,8,Big Spenders
CUST_000065,2024-11-16,46,15,5330.99,355.39933333333335,USA,North America,Real Estate,Small Business,Professional,Monthly,197.49,1754.28,3.0,71.8,22.6,4.0,1.4,12,729.71,2,2,3,223,7,Needs Attention
CUST_000066,2024-09-28,95,14,719.6,51.4,USA,North America,Retail,Startup,Basic,Monthly,29.02,101.11,5.0,52.2,16.5,-22.0,0.0,25,71.97,1,2,1,121,4,Low Value Dormant
CUST_000067,2024-12-21,11,13,8734.59,671.8915384615385,USA,North America,Healthcare,Small Business,Business,Monthly,336.6,982.08,3.0,38.8,16.1,7.0,0.8,5,315.38,5,1,4,514,10,Steady Customers
CUST_000068,2024-11-05,57,16,3602.77,225.173125,USA,North America,Finance,Small Business,Professional,Annual,157.94,278.66,6.0,44.7,7.2,-14.0,7.9,29,180.22,2,3,3,233,8,Needs Attention
CUST_000069,2024-12-31,1,19,2459.35,129.43947368421053,USA,North America,Other,Small Business,Basic,Monthly,53.25,240.47,2.0,60.0,18.2,31.0,0.2,1,236.9,5,5,2,552,12,Potential Loyalists
CUST_000070,2024-12-20,12,17,11358.57,668.1511764705882,USA,North America,Real Estate,Small Business,Business,Annual,347.48,895.93,5.0,39.7,15.4,-17.0,4.6,6,1780.57,5,4,4,544,13,Champions
CUST_000071,2024-11-11,51,13,635.73,48.902307692307694,USA,North America,Finance,Startup,Basic,Monthly,23.49,46.51,4.0,35.4,14.3,12.0,0.0,23,224.03,2,1,1,211,4,Low Value Dormant
CUST_000072,2024-04-04,272,18,11144.93,619.1627777777778,USA,North America,Other,Small Business,Business,Annual,449.76,803.33,7.0,44.4,19.0,2.0,9.8,34,411.97,1,4,4,144,9,At Risk High Value
CUST_000073,2024-12-24,8,18,4629.54,257.19666666666666,USA,North America,Education,Small Business,Professional,Annual,127.75,577.31,4.0,61.9,20.6,15.0,5.1,5,322.47,5,4,3,543,12,Potential Loyalists
CUST_000074,2024-12-18,14,14,11689.83,834.9878571428571,UK,Europe,Real Estate,Mid-Market,Professional,Multi-Year,513.73,3025.3,5.0,69.9,17.8,2.0,15.2,7,609.37,5,2,4,524,11,Steady Customers
CUST_000075,2024-12-05,27,16,6237.45,389.840625,India,APAC,Manufacturing,Small Business,Professional,Monthly,200.2,473.03,11.0,48.8,18.3,-25.0,1.0,7,175.1,4,3,3,433,10,Potential Loyalists
CUST_000076,2024-11-30,32,10,1899.82,189.982,USA,North America,Real Estate,Startup,Professional,Annual,102.82,209.57,4.0,46.0,15.0,19.0,9.3,6,62.24,3,1,2,312,6,Regular Customers
CUST_000077,2024-08-13,141,16,1458.43,91.151875,USA,North America,Real Estate,Small Business,Basic,Annual,66.34,132.11,3.0,32.9,6.1,-19.0,7.0,29,380.44,1,3,2,132,6,Needs Attention
CUST_000078,2024-12-05,27,19,120311.06,6332.161052631579,USA,North America,Technology,Mid-Market,Enterprise,Multi-Year,3995.74,75336.35,5.0,86.4,31.0,10.0,9.5,17,6060.71,4,5,5,455,14,Champions
CUST_000079,2024-11-07,55,14,7971.15,569.3678571428571,India,APAC,Other,Small Business,Business,Annual,383.59,2516.46,2.0,67.8,19.5,-0.0,7.5,26,292.14,2,2,4,224,8,Needs Attention
CUST_000080,2024-12-21,11,12,4859.599999999999,404.96666666666664,UK,Europe,Healthcare,Small Business,Professional,Annual,199.25,1203.37,3.0,61.4,22.6,32.0,8.2,4,224.87,5,1,3,513,9,New or Promising
CUST_000081,2024-09-11,112,16,10690.25,668.140625,USA,North America,Finance,Small Business,Business,Annual,439.89,578.74,4.0,37.7,14.9,-30.0,8.3,9,264.19,1,3,4,134,8,Needs Attention
CUST_000082,2023-08-13,507,18,681.25,37.84722222222222,Australia,APAC,Education,Startup,Basic,Annual,27.34,38.97,0.0,49.5,11.2,-17.0,6.5,18,96.37,1,4,1,141,6,Needs Attention
CUST_000083,2024-10-20,73,13,14952.12,1150.163076923077,USA,North America,Manufacturing,Mid-Market,Business,Annual,798.85,4272.92,2.0,42.4,11.5,24.0,8.0,29,1162.4,2,1,4,214,7,Needs Attention
CUST_000084,2024-11-23,39,15,2078.51,138.56733333333335,USA,North America,Real Estate,Startup,Professional,Monthly,79.11,297.93,1.0,62.3,15.3,21.0,0.2,19,77.56,3,2,2,322,7,Regular Customers
CUST_000085,2024-11-20,42,13,3425.57,263.5053846153846,USA,North America,Finance,Small Business,Professional,Annual,183.28,1631.9,3.0,75.4,20.7,20.0,7.4,18,1116.54,3,1,3,313,7,Regular Customers
CUST_000086,2024-12-06,26,10,1636.69,163.669,USA,North America,Finance,Startup,Professional,Annual,88.3,215.42,4.0,52.9,13.4,17.0,5.1,7,73.86,4,1,2,412,7,New or Promising
CUST_000087,2024-06-17,198,18,9727.02,540.39,Canada,North America,Technology,Startup,Business,Annual,329.87,857.29,0.0,48.6,12.1,7.0,6.7,9,70.71,1,4,4,144,9,At Risk High Value
CUST_000088,2024-12-22,10,10,1121.32,112.13199999999999,UK,Europe,Finance,Small Business,Basic,Annual,55.07,180.32,4.0,51.5,15.5,17.0,5.7,3,367.38,5,1,2,512,8,New or Promising
CUST_000089,2024-12-12,20,20,6644.71,332.2355,Australia,APAC,Manufacturing,Small Business,Professional,Monthly,172.2,5034.32,1.0,84.1,26.9,26.0,0.6,14,261.28,4,5,4,454,13,Champions
CUST_000090,2024-10-15,78,11,13330.35,1211.8500000000001,UK,Europe,Healthcare,Mid-Market,Business,Annual,853.17,7452.69,3.0,49.4,20.4,8.0,10.9,26,6140.55,2,1,4,214,7,Needs Attention
CUST_000091,2024-12-20,12,17,9886.09,581.5347058823529,USA,North America,Finance,Mid-Market,Professional,Monthly,329.6,1466.8,3.0,53.8,12.1,6.0,6.1,7,1091.33,5,4,4,544,13,Champions
CUST_000092,2024-12-22,10,17,8606.85,506.2852941176471,UK,Europe,Technology,Mid-Market,Professional,Annual,279.51,4007.74,2.0,72.9,21.8,38.0,6.8,6,1117.02,5,4,4,544,13,Champions
CUST_000093,2024-08-01,153,13,2618.92,201.45538461538462,UK,Europe,Education,Small Business,Professional,Annual,130.0,264.3,5.0,37.5,13.2,-13.0,7.7,11,346.92,1,1,2,112,4,Low Value Dormant
CUST_000094,2024-08-17,137,17,9759.6,574.0941176470589,USA,North America,Technology,Small Business,Business,Multi-Year,359.98,3558.42,1.0,64.1,28.8,37.0,14.0,6,1132.19,1,4,4,144,9,At Risk High Value
CUST_000095,2024-12-08,24,16,4297.89,268.618125,Australia,APAC,Manufacturing,Small Business,Professional,Monthly,143.9,631.88,3.0,43.1,13.4,-15.0,1.2,13,228.53,4,3,3,433,10,Potential Loyalists
CUST_000096,2024-12-04,28,15,5374.53,358.30199999999996,Other,LATAM,Finance,Small Business,Professional,Annual,212.89,621.15,4.0,59.7,15.7,30.0,7.8,12,202.03,4,2,3,423,9,New or Promising
CUST_000097,2024-02-02,334,14,5049.97,360.71214285714285,UK,Europe,Technology,Small Business,Professional,Monthly,135.06,237.78,1.0,29.8,6.2,3.0,0.0,15,812.39,1,2,3,123,6,Needs Attention
CUST_000098,2024-10-14,79,13,157853.81,12142.600769230768,UK,Europe,Real Estate,Enterprise,Enterprise,Multi-Year,10465.68,392938.71,3.0,80.7,20.6,22.0,17.4,32,2898.51,2,1,5,215,8,Big Spenders
CUST_000099,2024-09-26,97,15,539.23,35.94866666666667,USA,North America,Finance,Startup,Basic,Monthly,24.13,45.54,5.0,56.0,20.8,-5.0,4.5,27,288.46,1,2,1,121,4,Low Value Dormant
CUST_000100,2024-11-08,54,17,161860.77,9521.221764705882,India,APAC,Retail,Enterprise,Enterprise,Annual,7472.96,340609.65,2.0,95.9,25.8,32.0,13.4,31,3732.84,2,4,5,245,11,At Risk High Value
CUST_000101,2024-11-19,43,13,964.0600000000001,74.15846153846154,India,APAC,Manufacturing,Startup,Basic,Annual,30.56,57.15,2.0,45.7,10.4,-1.0,5.0,9,69.25,3,1,1,311,5,Regular Customers
CUST_000102,2023-08-22,498,20,8042.31,402.1155,Germany,Europe,Manufacturing,Startup,Business,Monthly,286.43,867.42,3.0,42.0,15.4,-9.0,4.0,18,139.39,1,5,4,154,10,At Risk High Value
CUST_000103,2024-12-10,22,19,7917.02,416.6852631578948,USA,North America,Manufacturing,Startup,Business,Monthly,240.13,919.57,5.0,56.6,12.1,-11.0,1.2,13,277.29,4,5,4,454,13,Champions
CUST_000104,2024-11-22,40,18,5016.23,278.6794444444444,India,APAC,Education,Small Business,Professional,Annual,144.12,551.65,3.0,56.8,12.9,18.0,8.9,3,323.01,3,4,3,343,10,Steady Customers
CUST_000105,2023-05-09,603,11,474.12,43.10181818181818,USA,North America,Retail,Startup,Basic,Annual,33.74,88.29,5.0,41.9,9.7,-11.0,3.7,21,135.71,1,1,1,111,3,Low Value Dormant
CUST_000106,2024-11-22,40,12,17406.34,1450.5283333333334,UK,Europe,Finance,Mid-Market,Business,Multi-Year,991.86,3808.2,3.0,45.7,14.3,-6.0,16.3,15,5610.51,3,1,4,314,8,Steady Customers
CUST_000107,2024-12-17,15,16,20926.12,1307.8825,UK,Europe,Healthcare,Mid-Market,Business,Annual,737.62,4301.19,3.0,68.1,20.8,31.0,10.2,6,5196.35,5,3,4,534,12,Steady Customers
CUST_000108,2023-03-31,642,11,2571.7400000000002,233.79454545454547,Germany,Europe,Real Estate,Small Business,Professional,Annual,197.44,534.83,2.0,30.1,15.1,-0.0,7.9,22,320.16,1,1,2,112,4,Low Value Dormant
CUST_000109,2023-08-14,506,12,2346.57,195.5475,Germany,Europe,Other,Small Business,Professional,Annual,158.86,1009.74,7.0,53.3,22.3,3.0,7.2,28,208.78,1,1,2,112,4,Low Value Dormant
CUST_000110,2024-11-25,37,16,226931.06,14183.19125,Germany,Europe,Healthcare,Enterprise,Enterprise,Annual,8552.83,93462.85,6.0,70.5,19.7,-5.0,9.3,19,4207.95,3,3,5,335,11,Big Spenders
CUST_000111,2024-11-10,52,16,85328.37,5333.023125,India,APAC,Technology,Mid-Market,Enterprise,Annual,3733.02,39218.67,3.0,55.4,17.8,26.0,10.7,24,1961.77,2,3,5,235,10,Big Spenders
CUST_000112,2024-12-22,10,14,3485.5699999999997,248.9692857142857,UK,Europe,Healthcare,Small Business,Professional,Monthly,115.63,1055.8,1.0,68.4,25.1,51.0,2.3,2,287.15,5,2,3,523,10,New or Promising
CUST_000113,2024-12-19,13,18,32765.95,1820.3305555555555,Germany,Europe,Manufacturing,Mid-Market,Business,Annual,733.26,5241.66,6.0,51.7,20.4,18.0,8.5,5,1312.78,5,4,5,545,14,Champions
CUST_000114,2024-12-18,14,20,7560.39,378.0195,USA,North America,Technology,Small Business,Professional,Annual,206.92,682.26,3.0,38.9,7.8,22.0,5.7,9,819.12,5,5,4,554,14,Champions
CUST_000115,2024-12-19,13,16,1642.86,102.67875,UK,Europe,Education,Small Business,Basic,Monthly,46.24,127.78,2.0,41.8,18.7,10.0,1.9,3,589.29,5,3,2,532,10,Potential Loyalists
CUST_000116,2024-12-19,13,14,835.84,59.70285714285715,USA,North America,Real Estate,Startup,Basic,Monthly,29.06,59.98,7.0,59.2,14.7,-4.0,3.2,5,259.62,5,2,1,521,8,New or Promising
CUST_000117,2024-11-14,48,13,2668.64,205.28,India,APAC,Other,Small Business,Professional,Annual,141.05,637.13,6.0,60.3,22.4,7.0,7.4,23,565.95,2,1,2,212,5,Low Value Dormant
CUST_000118,2024-12-23,9,12,758.9399999999999,63.245,Other,LATAM,Technology,Startup,Basic,Monthly,30.68,52.7,5.0,39.5,8.3,-10.0,4.5,3,100.33,5,1,1,511,7,New or Promising
CUST_000119,2024-12-07,25,14,2117.12,151.22285714285712,USA,North America,Other,Startup,Professional,Monthly,79.7,187.09,4.0,61.8,21.5,-6.0,0.0,12,84.79,4,2,2,422,8,New or Promising
CUST_000120,2024-10-29,64,18,4771.87,265.1038888888889,UK,Europe,Manufacturing,Small Business,Professional,Monthly,138.94,349.97,6.0,49.3,11.3,-3.0,0.0,5,756.35,2,4,3,243,9,Needs Attention
CUST_000121,2024-12-23,9,16,224130.85,14008.178125,USA,North America,Technology,Enterprise,Enterprise,Multi-Year,7988.77,115474.04,3.0,70.0,18.1,27.0,20.5,3,9287.3,5,3,5,535,13,Big Spenders
CUST_000122,2024-11-26,36,14,51503.86,3678.847142857143,USA,North America,Finance,Enterprise,Business,Annual,2379.51,93318.17,2.0,72.1,21.6,40.0,9.8,18,11483.81,3,2,5,325,10,Big Spenders
CUST_000123,2024-11-04,58,13,9446.07,726.6207692307692,UK,Europe,Manufacturing,Small Business,Business,Monthly,446.49,954.53,6.0,33.8,6.9,-12.0,2.3,27,816.68,2,1,4,214,7,Needs Attention
CUST_000124,2024-11-16,46,16,1230.58,76.91125,USA,North America,Other,Small Business,Basic,Annual,48.84,174.65,3.0,48.9,16.2,19.0,8.1,22,728.33,2,3,2,232,7,Needs Attention
CUST_000125,2024-11-28,34,15,1691.08,112.73866666666666,USA,North America,Technology,Startup,Professional,Monthly,64.58,117.85,6.0,46.8,12.2,7.0,0.0,15,295.74,3,2,2,322,7,Regular Customers
CUST_000126,2024-12-17,15,11,3612.02,328.36545454545455,Canada,North America,Technology,Small Business,Professional,Annual,177.55,387.23,3.0,40.9,4.4,-13.0,6.0,5,242.48,5,1,3,513,9,New or Promising
