customer_id,rfm_segment,rfm_score,rfm_total_score,recency,frequency,monetary,average_order_value,usage_score,login_frequency,nps_score,support_tickets,subscription_plan,contract_type,country
CUST_000361,Low Value Dormant,111,3,178,10,380.71,38.071,56.0,10.5,21.0,6.0,Basic,Monthly,India
CUST_018543,Low Value Dormant,111,3,265,10,388.84000000000003,38.884,24.1,12.6,-34.0,9.0,Basic,Annual,Germany
CUST_004079,Low Value Dormant,111,3,101,9,392.24,43.58222222222222,42.5,10.6,-28.0,8.0,Basic,Monthly,USA
CUST_003356,Low Value Dormant,111,3,160,8,392.86,49.1075,43.8,7.9,-4.0,3.0,Basic,Monthly,India
CUST_001831,Low Value Dormant,111,3,198,9,394.17,43.79666666666667,44.9,4.0,27.0,3.0,Basic,Monthly,Canada
CUST_007529,Low Value Dormant,111,3,425,9,396.26,44.028888888888886,30.8,7.3,-8.0,6.0,Basic,Monthly,Canada
CUST_006520,Low Value Dormant,111,3,475,13,396.3,30.484615384615385,39.8,7.3,-13.0,6.0,Basic,Monthly,USA
CUST_004914,Low Value Dormant,111,3,664,11,398.17,36.197272727272725,44.9,10.5,55.0,2.0,Basic,Multi-Year,Germany
CUST_000318,Low Value Dormant,111,3,86,9,399.61,44.40111111111111,66.9,20.0,6.0,4.0,Basic,Annual,USA
CUST_015995,Low Value Dormant,111,3,93,11,402.44,36.585454545454546,50.4,21.0,-0.0,4.0,Basic,Annual,UK
CUST_019715,Low Value Dormant,111,3,91,12,404.04,33.67,27.6,11.0,-28.0,3.0,Basic,Annual,UK
CUST_010776,Low Value Dormant,111,3,233,11,404.86,36.805454545454545,41.6,19.0,-19.0,7.0,Basic,Monthly,USA
CUST_019014,Low Value Dormant,111,3,90,10,408.56,40.856,47.6,17.8,23.0,3.0,Basic,Annual,India
CUST_006199,Low Value Dormant,111,3,712,10,409.18,40.918,60.3,13.1,-5.0,7.0,Basic,Monthly,USA
CUST_005624,Low Value Dormant,111,3,713,13,411.68,31.66769230769231,41.9,12.3,0.0,2.0,Basic,Monthly,USA
CUST_005843,Low Value Dormant,111,3,986,13,412.88,31.759999999999998,16.6,5.5,-9.0,9.0,Basic,Monthly,USA
CUST_016028,Low Value Dormant,111,3,491,11,415.32,37.75636363636364,43.8,17.7,13.0,6.0,Basic,Monthly,UK
CUST_002845,Low Value Dormant,111,3,456,10,416.41,41.641000000000005,20.7,7.5,-46.0,9.0,Basic,Monthly,USA
CUST_010773,Low Value Dormant,111,3,588,12,417.15,34.762499999999996,25.4,5.0,-48.0,6.0,Basic,Annual,Australia
CUST_004510,Low Value Dormant,111,3,369,10,418.37,41.837,46.2,15.5,19.0,2.0,Basic,Annual,Germany
CUST_013740,Low Value Dormant,111,3,358,12,420.27,35.0225,41.5,9.3,18.0,1.0,Basic,Annual,USA
CUST_004380,Low Value Dormant,111,3,572,13,421.71,32.43923076923077,51.5,18.0,-7.0,3.0,Basic,Monthly,Australia
CUST_008066,Low Value Dormant,111,3,369,9,424.4,47.15555555555555,56.5,16.5,11.0,6.0,Basic,Monthly,USA
CUST_000287,Low Value Dormant,111,3,322,11,424.71,38.61,43.9,19.4,24.0,7.0,Basic,Annual,UK
CUST_004434,Low Value Dormant,111,3,672,10,425.92,42.592,52.8,22.5,-31.0,4.0,Basic,Annual,USA
CUST_006152,Low Value Dormant,111,3,95,10,428.47999999999996,42.848,60.9,17.6,41.0,4.0,Basic,Annual,Germany
CUST_007622,Low Value Dormant,111,3,201,12,429.86,35.821666666666665,33.0,15.5,-27.0,2.0,Basic,Annual,USA
CUST_019968,Low Value Dormant,111,3,256,11,429.90999999999997,39.08272727272727,39.9,13.0,0.0,4.0,Basic,Monthly,Canada
CUST_001684,Low Value Dormant,111,3,89,9,430.87,47.87444444444444,56.0,15.9,17.0,5.0,Basic,Monthly,USA
CUST_004072,Low Value Dormant,111,3,197,8,431.62,53.9525,33.8,16.3,-10.0,0.0,Basic,Annual,Australia
CUST_001013,Low Value Dormant,111,3,316,12,431.88,35.99,56.0,12.0,6.0,4.0,Basic,Monthly,Australia
CUST_012116,Low Value Dormant,111,3,327,11,433.22,39.38363636363636,7.3,5.2,-22.0,7.0,Basic,Monthly,USA
CUST_013155,Low Value Dormant,111,3,293,11,433.3,39.39090909090909,35.3,12.2,15.0,5.0,Basic,Monthly,Germany
CUST_003807,Low Value Dormant,111,3,503,11,433.83,39.43909090909091,52.1,15.9,17.0,3.0,Basic,Annual,Germany
CUST_002166,Low Value Dormant,111,3,171,11,433.84,39.44,61.1,20.4,27.0,3.0,Basic,Annual,USA
CUST_016985,Low Value Dormant,111,3,163,11,433.98,39.45272727272727,72.4,22.9,15.0,6.0,Basic,Monthly,USA
CUST_019686,Low Value Dormant,111,3,398,11,435.79,39.61727272727273,13.3,5.0,-56.0,6.0,Basic,Monthly,USA
CUST_011356,Low Value Dormant,111,3,90,9,436.44,48.49333333333333,46.5,8.8,-5.0,5.0,Basic,Monthly,USA
CUST_004291,Low Value Dormant,111,3,102,9,438.9,48.766666666666666,50.0,15.7,74.0,1.0,Basic,Monthly,Other
CUST_017361,Low Value Dormant,111,3,252,11,438.97,39.906363636363636,43.5,7.2,26.0,6.0,Basic,Annual,India
CUST_017357,Low Value Dormant,111,3,337,11,440.53999999999996,40.04909090909091,27.0,0.5,-20.0,2.0,Basic,Monthly,USA
CUST_008711,Low Value Dormant,111,3,511,11,441.58,40.14363636363636,31.7,14.8,-40.0,4.0,Basic,Monthly,India
CUST_012821,Low Value Dormant,111,3,204,9,441.88,49.09777777777778,49.5,12.7,43.0,4.0,Basic,Monthly,Germany
CUST_018627,Low Value Dormant,111,3,492,12,442.49,36.87416666666667,38.9,12.1,7.0,1.0,Basic,Monthly,USA
CUST_006100,Low Value Dormant,111,3,259,11,443.4,40.309090909090905,12.3,8.4,-9.0,5.0,Basic,Annual,USA
CUST_011276,Low Value Dormant,111,3,459,11,444.14,40.376363636363635,38.7,10.8,-1.0,7.0,Basic,Monthly,Other
CUST_000190,Low Value Dormant,111,3,734,13,444.28,34.175384615384615,37.2,12.6,-18.0,2.0,Basic,Monthly,USA
CUST_019122,Low Value Dormant,111,3,614,11,444.47,40.406363636363636,60.3,10.7,50.0,2.0,Basic,Monthly,India
CUST_014951,Low Value Dormant,111,3,97,12,446.14,37.178333333333335,33.5,5.5,-2.0,5.0,Basic,Annual,USA
CUST_012792,Low Value Dormant,111,3,117,9,451.85,50.205555555555556,53.1,9.1,-1.0,7.0,Basic,Monthly,Other
CUST_012711,Low Value Dormant,111,3,506,12,453.28,37.77333333333333,39.2,12.6,-18.0,6.0,Basic,Monthly,Germany
CUST_005318,Low Value Dormant,111,3,600,11,453.52,41.22909090909091,51.9,16.1,-4.0,2.0,Basic,Monthly,USA
CUST_004341,Low Value Dormant,111,3,614,13,456.93,35.14846153846154,37.0,14.3,-30.0,3.0,Basic,Monthly,USA
CUST_014675,Low Value Dormant,111,3,725,8,459.37,57.42125,41.3,13.0,-0.0,4.0,Basic,Annual,India
CUST_002863,Low Value Dormant,111,3,96,9,460.37,51.15222222222222,51.2,19.2,-6.0,2.0,Basic,Annual,India
CUST_004366,Low Value Dormant,111,3,497,10,460.89,46.089,39.5,11.1,-13.0,4.0,Basic,Monthly,USA
CUST_005677,Low Value Dormant,111,3,685,13,461.11,35.47,17.4,10.1,-19.0,9.0,Basic,Monthly,Other
CUST_000020,Low Value Dormant,111,3,208,12,461.36,38.446666666666665,48.9,10.9,15.0,5.0,Basic,Monthly,USA
CUST_000362,Low Value Dormant,111,3,107,13,465.21,35.785384615384615,32.8,13.0,1.0,7.0,Basic,Monthly,USA
CUST_019872,Low Value Dormant,111,3,423,10,466.69,46.669,27.4,13.7,-47.0,7.0,Basic,Annual,USA
CUST_008138,Low Value Dormant,111,3,191,9,467.71000000000004,51.96777777777778,60.9,13.6,40.0,1.0,Basic,Monthly,UK
CUST_006018,Low Value Dormant,111,3,314,7,468.35,66.90714285714286,50.2,20.4,26.0,5.0,Basic,Annual,USA
CUST_004208,Low Value Dormant,111,3,671,12,468.85,39.07083333333333,45.9,23.7,11.0,1.0,Basic,Monthly,USA
CUST_013271,Low Value Dormant,111,3,252,11,469.42,42.67454545454546,33.4,7.8,-26.0,7.0,Basic,Annual,Germany
CUST_015738,Low Value Dormant,111,3,253,12,469.94,39.16166666666667,56.0,15.0,24.0,0.0,Basic,Monthly,Canada
CUST_006303,Low Value Dormant,111,3,112,12,472.02,39.335,77.9,24.0,37.0,1.0,Basic,Monthly,UK
CUST_018393,Low Value Dormant,111,3,163,12,472.08,39.339999999999996,44.1,10.2,21.0,3.0,Basic,Annual,UK
CUST_000105,Low Value Dormant,111,3,603,11,474.12,43.10181818181818,41.9,9.7,-11.0,5.0,Basic,Annual,USA
CUST_013287,Low Value Dormant,111,3,114,12,476.84,39.736666666666665,34.7,16.7,17.0,0.0,Basic,Annual,Other
CUST_019309,Low Value Dormant,111,3,237,11,477.37,43.39727272727273,28.6,9.0,-21.0,7.0,Basic,Monthly,USA
CUST_008606,Low Value Dormant,111,3,87,9,478.21000000000004,53.13444444444445,26.0,6.2,-24.0,2.0,Basic,Monthly,Other
CUST_011690,Low Value Dormant,111,3,528,11,480.28000000000003,43.661818181818184,57.6,14.7,-10.0,5.0,Basic,Monthly,Other
CUST_007038,Low Value Dormant,111,3,298,11,480.94,43.72181818181818,35.4,11.4,-3.0,6.0,Basic,Monthly,USA
CUST_007830,Low Value Dormant,111,3,122,11,482.37,43.85181818181818,51.8,20.7,7.0,2.0,Basic,Monthly,USA
CUST_000428,Low Value Dormant,111,3,355,11,482.40999999999997,43.85545454545454,47.3,22.8,-17.0,4.0,Basic,Annual,Australia
CUST_003868,Low Value Dormant,111,3,233,11,483.15,43.92272727272727,55.7,14.1,11.0,7.0,Basic,Annual,USA
CUST_010788,Low Value Dormant,111,3,115,11,483.25,43.93181818181818,38.3,5.0,-16.0,2.0,Basic,Monthly,USA
CUST_001275,Low Value Dormant,111,3,585,10,483.29,48.329,37.1,12.9,6.0,4.0,Basic,Monthly,USA
CUST_010740,Low Value Dormant,111,3,552,12,483.5,40.291666666666664,27.0,9.4,7.0,1.0,Basic,Monthly,USA
CUST_006558,Low Value Dormant,111,3,175,12,484.2,40.35,41.6,11.2,9.0,2.0,Basic,Monthly,USA
CUST_019511,Low Value Dormant,111,3,171,11,486.96000000000004,44.26909090909091,48.9,9.9,22.0,5.0,Basic,Monthly,USA
CUST_014736,Low Value Dormant,111,3,87,10,488.52,48.852,71.4,22.9,15.0,5.0,Basic,Annual,India
CUST_006144,Low Value Dormant,111,3,115,12,490.14,40.845,46.6,13.5,24.0,4.0,Basic,Monthly,Australia
CUST_009179,Low Value Dormant,111,3,90,11,490.53,44.593636363636364,36.6,5.8,-2.0,5.0,Basic,Monthly,Canada
CUST_015714,Low Value Dormant,111,3,1012,8,492.91,61.61375,45.4,14.8,-5.0,4.0,Professional,Annual,Other
CUST_005503,Low Value Dormant,111,3,351,12,494.6,41.21666666666667,31.5,9.0,4.0,4.0,Basic,Monthly,Canada
CUST_000476,Low Value Dormant,111,3,136,10,495.09000000000003,49.509,47.1,15.8,9.0,4.0,Basic,Annual,India
CUST_015577,Low Value Dormant,111,3,235,11,497.14,45.194545454545455,51.6,9.3,-4.0,4.0,Basic,Monthly,USA
CUST_011714,Low Value Dormant,111,3,629,11,497.23,45.20272727272727,63.7,19.1,6.0,4.0,Basic,Annual,UK
CUST_010060,Low Value Dormant,111,3,90,6,498.49,83.08166666666666,63.9,18.5,11.0,2.0,Basic,Monthly,USA
CUST_009505,Low Value Dormant,111,3,195,11,498.55,45.32272727272727,10.5,1.6,-35.0,3.0,Basic,Monthly,Other
CUST_015893,Low Value Dormant,111,3,230,10,498.92,49.892,61.3,14.4,15.0,4.0,Basic,Monthly,USA
CUST_016385,Low Value Dormant,111,3,107,11,500.01,45.45545454545454,53.6,13.5,32.0,3.0,Basic,Annual,Germany
CUST_019902,Low Value Dormant,111,3,123,12,503.71,41.975833333333334,34.8,8.9,-6.0,1.0,Basic,Monthly,Australia
CUST_011715,Low Value Dormant,111,3,146,7,508.19,72.59857142857143,53.5,20.7,-13.0,1.0,Basic,Annual,Canada
CUST_006655,Low Value Dormant,111,3,185,11,509.5,46.31818181818182,7.7,0.0,-19.0,7.0,Basic,Monthly,USA
CUST_008506,Low Value Dormant,111,3,234,12,510.84000000000003,42.57,46.7,13.0,17.0,3.0,Basic,Monthly,Australia
CUST_009803,Low Value Dormant,111,3,116,12,511.09,42.59083333333333,24.9,6.9,-17.0,8.0,Basic,Annual,Australia
CUST_015616,Low Value Dormant,111,3,156,10,514.38,51.438,56.2,21.9,11.0,6.0,Basic,Monthly,USA
CUST_014762,Low Value Dormant,111,3,496,11,515.1,46.82727272727273,39.0,6.6,-28.0,6.0,Basic,Monthly,UK
CUST_011971,Low Value Dormant,111,3,431,10,515.4300000000001,51.543000000000006,52.4,15.4,-7.0,9.0,Basic,Annual,USA
CUST_013881,Low Value Dormant,111,3,321,10,515.57,51.557,43.1,8.1,7.0,6.0,Basic,Monthly,USA
CUST_018967,Low Value Dormant,111,3,645,12,515.6,42.96666666666667,42.2,18.2,21.0,6.0,Basic,Monthly,USA
CUST_012412,Low Value Dormant,111,3,242,8,515.83,64.47875,36.9,8.3,-36.0,7.0,Basic,Monthly,Australia
CUST_007866,Low Value Dormant,111,3,223,12,515.94,42.995000000000005,39.7,10.4,16.0,1.0,Basic,Annual,India
CUST_002911,Low Value Dormant,111,3,102,11,516.14,46.92181818181818,46.4,14.0,24.0,3.0,Basic,Annual,USA
CUST_019429,Low Value Dormant,111,3,192,12,523.14,43.595,44.5,21.3,18.0,5.0,Basic,Monthly,USA
CUST_004758,Low Value Dormant,111,3,283,12,529.31,44.10916666666666,59.1,16.4,26.0,0.0,Basic,Annual,Australia
CUST_004731,Low Value Dormant,111,3,151,13,530.23,40.78692307692308,47.0,12.5,-15.0,2.0,Basic,Monthly,USA
CUST_007056,Low Value Dormant,111,3,109,13,530.98,40.84461538461539,21.3,9.0,-21.0,6.0,Basic,Monthly,USA
CUST_008111,Low Value Dormant,111,3,245,12,532.6,44.38333333333333,53.5,16.6,-4.0,3.0,Basic,Annual,Germany
CUST_009818,Low Value Dormant,111,3,246,11,533.11,48.46454545454546,32.0,10.5,-11.0,8.0,Basic,Annual,USA
CUST_008703,Low Value Dormant,111,3,94,11,535.4,48.67272727272727,37.9,7.6,-5.0,4.0,Basic,Monthly,India
CUST_008741,Low Value Dormant,111,3,234,11,538.17,48.92454545454545,56.4,16.0,21.0,3.0,Basic,Annual,Canada
CUST_006368,Low Value Dormant,111,3,111,11,539.99,49.09,53.3,19.5,14.0,4.0,Basic,Monthly,USA
CUST_011075,Low Value Dormant,111,3,254,12,541.62,45.135,31.2,13.1,-25.0,5.0,Basic,Annual,USA
CUST_005415,Low Value Dormant,111,3,403,13,543.0,41.76923076923077,58.1,19.1,15.0,3.0,Basic,Annual,USA
CUST_018709,Low Value Dormant,111,3,202,12,543.57,45.29750000000001,49.2,14.5,4.0,5.0,Basic,Monthly,Canada
CUST_003800,Low Value Dormant,111,3,342,11,545.54,49.594545454545454,40.1,10.6,-25.0,6.0,Basic,Annual,USA
CUST_009268,Low Value Dormant,111,3,563,12,545.76,45.48,44.9,10.8,-33.0,7.0,Basic,Annual,USA
CUST_007184,Low Value Dormant,111,3,124,10,546.95,54.69500000000001,49.6,12.6,-30.0,3.0,Basic,Monthly,USA
CUST_000350,Low Value Dormant,111,3,329,12,548.0699999999999,45.67249999999999,43.5,11.7,-3.0,4.0,Basic,Monthly,Germany
CUST_000938,Low Value Dormant,111,3,408,13,548.22,42.17076923076923,59.4,8.3,29.0,3.0,Basic,Monthly,USA
CUST_003589,Low Value Dormant,111,3,625,12,548.33,45.69416666666667,25.1,5.0,-51.0,6.0,Basic,Monthly,India
CUST_003249,Low Value Dormant,111,3,228,12,550.35,45.862500000000004,55.0,13.4,-1.0,3.0,Basic,Monthly,USA
CUST_004491,Low Value Dormant,111,3,197,11,554.55,50.41363636363636,47.9,17.0,16.0,2.0,Basic,Annual,USA
CUST_005014,Low Value Dormant,111,3,580,13,555.96,42.76615384615385,50.8,14.8,17.0,6.0,Basic,Monthly,Canada
CUST_018338,Low Value Dormant,111,3,405,12,557.23,46.435833333333335,63.5,25.1,40.0,2.0,Basic,Annual,USA
CUST_012183,Low Value Dormant,111,3,401,11,558.41,50.76454545454545,34.2,11.4,-30.0,0.0,Basic,Annual,USA
CUST_013229,Low Value Dormant,111,3,212,11,558.87,50.806363636363635,46.5,13.6,1.0,5.0,Basic,Monthly,Canada
CUST_007328,Low Value Dormant,111,3,123,13,558.91,42.99307692307692,49.2,17.5,-8.0,6.0,Basic,Annual,Australia
CUST_005720,Low Value Dormant,111,3,587,13,560.11,43.08538461538462,38.6,9.4,6.0,0.0,Basic,Annual,USA
CUST_003236,Low Value Dormant,111,3,123,13,561.07,43.159230769230774,72.8,17.4,-9.0,0.0,Basic,Annual,USA
CUST_007300,Low Value Dormant,111,3,116,13,561.67,43.20538461538461,30.8,7.7,-25.0,3.0,Basic,Monthly,Canada
CUST_004760,Low Value Dormant,111,3,134,12,563.5,46.958333333333336,26.0,6.0,-14.0,2.0,Basic,Monthly,USA
CUST_015198,Low Value Dormant,111,3,664,10,563.66,56.366,48.8,10.5,11.0,9.0,Basic,Annual,Germany
CUST_019909,Low Value Dormant,111,3,121,12,566.51,47.20916666666667,29.2,7.4,-34.0,4.0,Basic,Monthly,UK
CUST_004683,Low Value Dormant,111,3,215,12,566.78,47.23166666666666,50.7,11.5,13.0,5.0,Basic,Annual,USA
CUST_019115,Low Value Dormant,111,3,175,12,567.17,47.26416666666666,18.0,12.2,-35.0,6.0,Basic,Monthly,UK
CUST_010129,Low Value Dormant,111,3,92,12,570.37,47.530833333333334,57.0,13.4,69.0,2.0,Basic,Monthly,USA
CUST_008771,Low Value Dormant,111,3,168,11,571.28,51.93454545454545,56.4,14.5,16.0,3.0,Basic,Monthly,Australia
CUST_017956,Low Value Dormant,111,3,457,12,572.83,47.73583333333334,50.0,10.2,-22.0,7.0,Basic,Monthly,India
CUST_016159,Low Value Dormant,111,3,109,11,574.03,52.18454545454545,59.8,15.0,26.0,4.0,Basic,Monthly,UK
CUST_008218,Low Value Dormant,111,3,542,12,574.91,47.909166666666664,38.6,11.6,25.0,2.0,Basic,Monthly,USA
CUST_003437,Low Value Dormant,111,3,266,13,576.33,44.33307692307692,35.3,7.4,-32.0,6.0,Basic,Monthly,UK
CUST_008135,Low Value Dormant,111,3,596,12,578.65,48.22083333333333,31.9,8.7,-2.0,5.0,Basic,Monthly,USA
CUST_012219,Low Value Dormant,111,3,476,10,579.19,57.919000000000004,31.9,15.5,-24.0,4.0,Basic,Annual,USA
CUST_001945,Low Value Dormant,111,3,89,11,579.91,52.71909090909091,46.0,19.8,-5.0,6.0,Basic,Monthly,Canada
CUST_007514,Low Value Dormant,111,3,127,12,580.0,48.333333333333336,39.8,9.9,19.0,1.0,Basic,Annual,Australia
CUST_019736,Low Value Dormant,111,3,102,11,580.92,52.810909090909085,39.8,11.3,-10.0,2.0,Basic,Annual,Australia
CUST_005576,Low Value Dormant,111,3,113,13,581.78,44.75230769230769,27.2,8.2,5.0,3.0,Basic,Annual,USA
CUST_017737,Low Value Dormant,111,3,158,12,583.84,48.653333333333336,56.5,14.8,-3.0,5.0,Basic,Annual,UK
CUST_008323,Low Value Dormant,111,3,129,12,584.75,48.729166666666664,50.1,13.0,28.0,4.0,Basic,Monthly,India
CUST_001131,Low Value Dormant,111,3,115,11,585.1,53.190909090909095,32.7,7.9,5.0,5.0,Basic,Monthly,India
CUST_007001,Low Value Dormant,111,3,188,12,588.03,49.0025,34.5,9.4,-1.0,6.0,Basic,Monthly,Australia
CUST_006067,Low Value Dormant,111,3,149,13,588.8,45.29230769230769,49.4,21.4,-18.0,6.0,Basic,Monthly,Germany
CUST_008751,Low Value Dormant,111,3,555,12,595.37,49.61416666666667,48.6,16.0,27.0,0.0,Basic,Monthly,Canada
CUST_018773,Low Value Dormant,111,3,308,10,596.34,59.634,53.6,20.2,-1.0,4.0,Basic,Annual,UK
CUST_008026,Low Value Dormant,111,3,111,12,596.38,49.69833333333333,44.6,7.8,-18.0,4.0,Basic,Annual,India
CUST_016657,Low Value Dormant,111,3,87,11,596.46,54.223636363636366,59.4,13.6,22.0,1.0,Basic,Annual,India
CUST_012765,Low Value Dormant,111,3,96,12,598.4300000000001,49.86916666666667,43.4,6.0,13.0,7.0,Basic,Multi-Year,Australia
CUST_004587,Low Value Dormant,111,3,336,10,598.5,59.85,30.5,4.3,-13.0,3.0,Basic,Annual,USA
CUST_008002,Low Value Dormant,111,3,86,10,599.59,59.959,62.6,16.6,11.0,1.0,Basic,Monthly,USA
CUST_003032,Low Value Dormant,111,3,92,13,601.76,46.28923076923077,59.3,12.1,0.0,6.0,Basic,Monthly,Canada
CUST_018686,Low Value Dormant,111,3,86,12,603.72,50.31,70.4,22.5,53.0,1.0,Basic,Annual,USA
CUST_003386,Low Value Dormant,111,3,171,13,609.52,46.886153846153846,41.5,12.0,-7.0,9.0,Basic,Monthly,Canada
CUST_003893,Low Value Dormant,111,3,337,13,611.36,47.027692307692305,45.4,13.8,40.0,3.0,Basic,Monthly,Germany
CUST_014087,Low Value Dormant,111,3,410,12,611.81,50.98416666666666,56.0,11.4,-47.0,3.0,Basic,Monthly,UK
CUST_000502,Low Value Dormant,111,3,408,12,612.37,51.030833333333334,53.5,14.7,27.0,2.0,Basic,Annual,Canada
CUST_001358,Low Value Dormant,111,3,201,13,613.9,47.223076923076924,43.3,20.1,19.0,6.0,Basic,Annual,Australia
CUST_005991,Low Value Dormant,111,3,284,12,614.69,51.22416666666667,58.7,18.1,7.0,3.0,Basic,Annual,UK
CUST_000254,Low Value Dormant,111,3,555,12,618.1,51.50833333333333,30.8,11.8,-41.0,8.0,Basic,Monthly,USA
CUST_017241,Low Value Dormant,111,3,182,12,618.89,51.57416666666666,44.9,12.3,-7.0,4.0,Basic,Monthly,India
CUST_004046,Low Value Dormant,111,3,462,12,620.47,51.70583333333334,68.7,23.1,1.0,3.0,Basic,Annual,UK
CUST_007469,Low Value Dormant,111,3,242,10,622.51,62.251,15.5,4.5,-16.0,5.0,Basic,Monthly,India
CUST_006696,Low Value Dormant,111,3,116,13,622.67,47.8976923076923,28.6,6.1,-4.0,6.0,Basic,Monthly,USA
CUST_017001,Low Value Dormant,111,3,209,12,623.93,51.994166666666665,47.4,13.3,36.0,1.0,Basic,Monthly,USA
