cohort_month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
2022-11-01,599647.25,342816.11,356249.7,355141.63,371875.93,402855.1,394225.38,405137.36,444655.63,396673.61,381471.67,548623.73,313999.75,608198.92,378908.65,385113.96,412628.3,403137.13,446098.41,424919.04,482191.91000000003,410541.78,521595.9,371553.67,708187.44,0.0,,,,,,,,,,
2022-12-01,720363.39,393651.25,378031.24,453520.33,489317.95,501992.82,480571.39999999997,400652.73,453576.04,449863.89,464180.17,651960.55,637131.93,357790.88,505534.4,387939.96,599115.1900000001,481157.34,535723.95,496046.14,529204.0599999999,448856.22,497059.86,930048.89,406.51,,,,,,,,,,,
2023-01-01,535277.97,390881.15,423692.21,455512.81,613418.1900000001,440939.25,545651.56,505430.21,702829.9400000001,637107.12,591930.11,605694.8099999999,589007.91,487059.88,525310.34,495803.98,637009.17,596132.8099999999,697013.99,544977.11,574132.83,724495.6900000001,887350.4,3762.41,,,,,,,,,,,,
2023-02-01,390912.21,368848.25,372088.85,472464.84,383567.54,393869.76,402611.99,439251.06,442301.11,413842.86,453970.45,330163.58999999997,311095.53,380402.62,493671.5,448368.24,387167.51,506867.54,392461.52,413717.09,498226.46,657277.29,11826.56,,,,,,,,,,,,,
2023-03-01,644352.97,622412.8,572104.3099999999,619608.29,665291.3,540610.6,635837.95,658573.84,742291.17,804718.5,477287.21,609006.68,496500.38,677110.36,683403.3200000001,649228.95,604387.26,790450.35,649029.72,723600.94,1027694.72,37179.64,,,,,,,,,,,,,,
2023-04-01,559816.59,517928.25,445284.63,532806.61,430986.94,507066.0,522372.43,665385.07,556517.76,445500.65,485824.82,534153.41,482902.11,499995.56,545859.79,583937.1,543043.05,552153.12,631864.75,839308.67,73275.87,,,,,,,,,,,,,,,
2023-05-01,757319.88,627337.4400000001,664110.87,722390.33,709013.6,893755.61,873850.1,938217.93,643620.7,615492.39,749839.47,761638.37,785464.4500000001,700085.6,812644.19,814519.28,796025.21,1178618.62,1073363.55,157707.35,,,,,,,,,,,,,,,,
2023-06-01,833305.49,948312.86,907805.68,819964.59,1032297.27,962855.73,1086226.27,711074.85,738716.1,914427.08,852736.46,911386.81,929933.88,912771.86,865824.26,1080415.9,1004056.79,1257951.1,277429.55,,,,,,,,,,,,,,,,,
2023-07-01,1050080.94,1145981.8,955305.82,1225917.59,1107304.6199999999,1209723.09,874495.29,892665.65,969406.95,999439.09,1021972.97,998586.65,1020471.85,951351.4,1190322.6300000001,1205172.03,1224997.47,653477.71,,,,,,,,,,,,,,,,,,
2023-08-01,834459.67,1072837.46,1002756.05,1131614.6,1196537.58,829986.71,760647.51,1039061.72,994765.1,968489.89,1064725.65,951426.15,908250.8099999999,966921.29,1277132.18,1202898.71,578416.49,,,,,,,,,,,,,,,,,,,
2023-09-01,897921.3,1205063.88,982239.46,1092620.3,769634.32,796778.4,891892.49,802287.15,962052.31,873929.15,911965.31,932877.46,945522.5,1069126.1,1068699.89,525693.31,,,,,,,,,,,,,,,,,,,,
2023-10-01,1018047.43,1168928.23,1356888.0,1040254.37,952455.4,1063693.02,1017948.21,988700.49,938386.02,1031784.55,949854.55,1041281.51,1079973.14,1081885.82,660314.24,,,,,,,,,,,,,,,,,,,,,
2023-11-01,1324364.22,1722540.84,1194013.4,1207409.51,1374088.23,1381253.94,1426681.72,1514311.46,1397871.91,1378991.02,1449427.56,1453615.5,1477946.94,1115389.34,,,,,,,,,,,,,,,,,,,,,,
2023-12-01,1891350.01,1462342.97,1484810.1,1802546.84,1729718.63,1679980.88,1690825.03,1701017.84,1626128.69,1622406.81,2014603.51,1823069.64,1360818.0,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01,1010900.05,1599618.49,1738599.5,1509659.79,1445031.32,1478239.56,1673797.82,1286404.8,1595123.54,1631738.25,1578818.02,1270824.97,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-01,1339001.08,1964575.34,1935305.04,2168511.73,1993993.55,1763371.25,1842508.01,2112865.46,2093234.04,1957908.73,1659372.95,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-01,1491456.38,2091360.89,2229877.96,2041526.37,2108979.22,1959437.12,1972862.47,2361862.2,2337106.12,1605604.77,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-01,1944293.5,2553374.32,2609019.75,2670276.09,2553991.58,2564833.42,2714008.02,2943371.54,2100882.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-01,2101572.5,2647941.05,2674093.5100000002,2213926.94,2251308.97,2534203.04,2449261.19,2044204.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-01,2467111.82,3647185.2,3579901.77,3468409.0,3873937.47,3975371.65,3404869.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-01,2475474.33,3670818.76,3547331.97,3849300.19,3891679.23,3241304.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-01,3124515.62,5465603.35,5344811.66,5177085.79,4701949.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01,4720964.3,9064646.27,8678047.98,8223795.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-01,5490106.84,10986943.7,10025416.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-01,9989544.62,20531281.580000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
