cohort_month,cohort_index,cohort_size,active_customers,retention_rate
2022-03-01,4,197,91,0.4619289340101523
2022-03-01,5,197,88,0.4467005076142132
2022-03-01,6,197,105,0.5329949238578681
2022-03-01,7,197,91,0.4619289340101523
2022-03-01,8,197,94,0.47715736040609136
2022-03-01,9,197,90,0.45685279187817257
2022-03-01,10,197,96,0.4873096446700508
2022-03-01,11,197,90,0.45685279187817257
2022-03-01,12,197,87,0.4416243654822335
2022-03-01,13,197,92,0.467005076142132
2022-03-01,14,197,86,0.4365482233502538
2022-03-01,15,197,83,0.4213197969543147
2022-03-01,16,197,73,0.37055837563451777
2022-03-01,17,197,72,0.36548223350253806
2022-03-01,18,197,95,0.48223350253807107
2022-03-01,19,197,82,0.41624365482233505
2022-03-01,20,197,89,0.4517766497461929
2022-03-01,21,197,68,0.34517766497461927
2022-03-01,22,197,81,0.41116751269035534
2022-03-01,23,197,88,0.4467005076142132
2022-03-01,24,197,70,0.3553299492385787
2022-03-01,25,197,66,0.3350253807106599
2022-03-01,26,197,81,0.41116751269035534
2022-03-01,27,197,84,0.4263959390862944
2022-03-01,28,197,66,0.3350253807106599
2022-03-01,29,197,77,0.39086294416243655
2022-03-01,30,197,78,0.39593908629441626
2022-03-01,31,197,58,0.29441624365482233
2022-03-01,32,197,96,0.4873096446700508
2022-03-01,33,197,55,0.27918781725888325
2022-03-01,34,197,0,0.0
2022-04-01,1,211,200,0.9478672985781991
2022-04-01,2,211,51,0.24170616113744076
2022-04-01,3,211,142,0.6729857819905213
2022-04-01,4,211,100,0.47393364928909953
2022-04-01,5,211,110,0.5213270142180095
2022-04-01,6,211,96,0.4549763033175355
2022-04-01,7,211,110,0.5213270142180095
2022-04-01,8,211,95,0.45023696682464454
2022-04-01,9,211,103,0.4881516587677725
2022-04-01,10,211,105,0.4976303317535545
2022-04-01,11,211,84,0.3981042654028436
2022-04-01,12,211,107,0.5071090047393365
2022-04-01,13,211,81,0.38388625592417064
2022-04-01,14,211,92,0.43601895734597157
2022-04-01,15,211,91,0.4312796208530806
2022-04-01,16,211,109,0.5165876777251185
2022-04-01,17,211,94,0.44549763033175355
2022-04-01,18,211,88,0.41706161137440756
2022-04-01,19,211,83,0.3933649289099526
2022-04-01,20,211,88,0.41706161137440756
2022-04-01,21,211,91,0.4312796208530806
2022-04-01,22,211,79,0.3744075829383886
2022-04-01,23,211,95,0.45023696682464454
2022-04-01,24,211,88,0.41706161137440756
2022-04-01,25,211,94,0.44549763033175355
2022-04-01,26,211,81,0.38388625592417064
2022-04-01,27,211,90,0.4265402843601896
2022-04-01,28,211,79,0.3744075829383886
2022-04-01,29,211,87,0.41232227488151657
2022-04-01,30,211,73,0.3459715639810427
2022-04-01,31,211,91,0.4312796208530806
2022-04-01,32,211,71,0.33649289099526064
2022-04-01,33,211,0,0.0
2022-05-01,1,284,268,0.9436619718309859
2022-05-01,2,284,78,0.2746478873239437
2022-05-01,3,284,193,0.6795774647887324
2022-05-01,4,284,145,0.5105633802816901
2022-05-01,5,284,148,0.5211267605633803
2022-05-01,6,284,160,0.5633802816901409
2022-05-01,7,284,135,0.4753521126760563
2022-05-01,8,284,147,0.5176056338028169
2022-05-01,9,284,153,0.5387323943661971
2022-05-01,10,284,132,0.4647887323943662
2022-05-01,11,284,135,0.4753521126760563
2022-05-01,12,284,142,0.5
2022-05-01,13,284,136,0.4788732394366197
2022-05-01,14,284,138,0.4859154929577465
2022-05-01,15,284,133,0.46830985915492956
2022-05-01,16,284,122,0.4295774647887324
2022-05-01,17,284,141,0.4964788732394366
2022-05-01,18,284,149,0.5246478873239436
2022-05-01,19,284,131,0.4612676056338028
2022-05-01,20,284,131,0.4612676056338028
2022-05-01,21,284,135,0.4753521126760563
2022-05-01,22,284,103,0.3626760563380282
2022-05-01,23,284,131,0.4612676056338028
2022-05-01,24,284,109,0.38380281690140844
2022-05-01,25,284,140,0.49295774647887325
2022-05-01,26,284,107,0.3767605633802817
2022-05-01,27,284,127,0.4471830985915493
2022-05-01,28,284,113,0.397887323943662
2022-05-01,29,284,112,0.39436619718309857
2022-05-01,30,284,99,0.3485915492957746
2022-05-01,31,284,124,0.43661971830985913
2022-05-01,32,284,0,0.0
2022-06-01,1,316,294,0.930379746835443
2022-06-01,2,316,111,0.3512658227848101
2022-06-01,3,316,237,0.75
2022-06-01,4,316,154,0.4873417721518987
2022-06-01,5,316,203,0.6424050632911392
2022-06-01,6,316,178,0.5632911392405063
2022-06-01,7,316,167,0.5284810126582279
2022-06-01,8,316,174,0.5506329113924051
2022-06-01,9,316,157,0.49683544303797467
2022-06-01,10,316,181,0.5727848101265823
2022-06-01,11,316,157,0.49683544303797467
2022-06-01,12,316,161,0.509493670886076
2022-06-01,13,316,159,0.5031645569620253
2022-06-01,14,316,159,0.5031645569620253
2022-06-01,15,316,168,0.5316455696202531
2022-06-01,16,316,158,0.5
2022-06-01,17,316,133,0.4208860759493671
2022-06-01,18,316,144,0.45569620253164556
2022-06-01,19,316,139,0.439873417721519
2022-06-01,20,316,129,0.40822784810126583
2022-06-01,21,316,159,0.5031645569620253
2022-06-01,22,316,116,0.3670886075949367
2022-06-01,23,316,136,0.43037974683544306
2022-06-01,24,316,127,0.40189873417721517
2022-06-01,25,316,132,0.4177215189873418
2022-06-01,26,316,125,0.39556962025316456
2022-06-01,27,316,126,0.3987341772151899
2022-06-01,28,316,136,0.43037974683544306
2022-06-01,29,316,103,0.3259493670886076
2022-06-01,30,316,148,0.46835443037974683
2022-06-01,31,316,0,0.0
2022-07-01,1,341,312,0.9149560117302052
2022-07-01,2,341,115,0.33724340175953077
2022-07-01,3,341,249,0.7302052785923754
2022-07-01,4,341,180,0.5278592375366569
2022-07-01,5,341,199,0.5835777126099707
2022-07-01,6,341,205,0.6011730205278593
2022-07-01,7,341,195,0.5718475073313783
2022-07-01,8,341,166,0.4868035190615836
2022-07-01,9,341,203,0.5953079178885631
2022-07-01,10,341,176,0.5161290322580645
2022-07-01,11,341,174,0.5102639296187683
2022-07-01,12,341,181,0.530791788856305
2022-07-01,13,341,178,0.5219941348973607
2022-07-01,14,341,168,0.49266862170087977
2022-07-01,15,341,147,0.4310850439882698
2022-07-01,16,341,182,0.533724340175953
2022-07-01,17,341,149,0.436950146627566
2022-07-01,18,341,169,0.49560117302052786
2022-07-01,19,341,164,0.4809384164222874
2022-07-01,20,341,119,0.3489736070381232
2022-07-01,21,341,171,0.501466275659824
2022-07-01,22,341,135,0.39589442815249265
2022-07-01,23,341,142,0.41642228739002934
2022-07-01,24,341,138,0.4046920821114369
2022-07-01,25,341,151,0.44281524926686217
2022-07-01,26,341,131,0.3841642228739003
2022-07-01,27,341,154,0.45161290322580644
2022-07-01,28,341,109,0.3196480938416422
2022-07-01,29,341,165,0.4838709677419355
2022-07-01,30,341,0,0.0
2022-08-01,1,388,358,0.9226804123711341
2022-08-01,2,388,163,0.42010309278350516
2022-08-01,3,388,273,0.7036082474226805
2022-08-01,4,388,212,0.5463917525773195
2022-08-01,5,388,239,0.615979381443299
2022-08-01,6,388,234,0.6030927835051546
2022-08-01,7,388,202,0.520618556701031
2022-08-01,8,388,227,0.5850515463917526
2022-08-01,9,388,202,0.520618556701031
2022-08-01,10,388,222,0.5721649484536082
2022-08-01,11,388,202,0.520618556701031
2022-08-01,12,388,215,0.5541237113402062
2022-08-01,13,388,201,0.5180412371134021
2022-08-01,14,388,223,0.5747422680412371
2022-08-01,15,388,200,0.5154639175257731
2022-08-01,16,388,184,0.4742268041237113
2022-08-01,17,388,189,0.48711340206185566
2022-08-01,18,388,197,0.5077319587628866
2022-08-01,19,388,177,0.45618556701030927
2022-08-01,20,388,169,0.43556701030927836
2022-08-01,21,388,179,0.46134020618556704
2022-08-01,22,388,185,0.47680412371134023
2022-08-01,23,388,174,0.4484536082474227
2022-08-01,24,388,171,0.44072164948453607
2022-08-01,25,388,170,0.4381443298969072
2022-08-01,26,388,184,0.4742268041237113
2022-08-01,27,388,128,0.32989690721649484
2022-08-01,28,388,220,0.5670103092783505
2022-08-01,29,388,0,0.0
2022-09-01,1,382,351,0.918848167539267
2022-09-01,2,382,159,0.4162303664921466
2022-09-01,3,382,263,0.6884816753926701
2022-09-01,4,382,215,0.56282722513089
2022-09-01,5,382,241,0.6308900523560209
2022-09-01,6,382,190,0.4973821989528796
2022-09-01,7,382,236,0.6178010471204188
2022-09-01,8,382,213,0.5575916230366492
2022-09-01,9,382,214,0.5602094240837696
2022-09-01,10,382,203,0.5314136125654451
2022-09-01,11,382,193,0.5052356020942408
2022-09-01,12,382,207,0.5418848167539267
2022-09-01,13,382,191,0.5
2022-09-01,14,382,189,0.49476439790575916
2022-09-01,15,382,198,0.518324607329843
2022-09-01,16,382,207,0.5418848167539267
2022-09-01,17,382,197,0.5157068062827225
2022-09-01,18,382,173,0.45287958115183247
2022-09-01,19,382,198,0.518324607329843
2022-09-01,20,382,155,0.40575916230366493
2022-09-01,21,382,180,0.4712041884816754
2022-09-01,22,382,174,0.45549738219895286
2022-09-01,23,382,181,0.4738219895287958
2022-09-01,24,382,164,0.4293193717277487
2022-09-01,25,382,183,0.4790575916230366
2022-09-01,26,382,140,0.36649214659685864
2022-09-01,27,382,207,0.5418848167539267
2022-09-01,28,382,0,0.0
2022-10-01,1,416,384,0.9230769230769231
2022-10-01,2,416,212,0.5096153846153846
2022-10-01,3,416,296,0.7115384615384616
2022-10-01,4,416,272,0.6538461538461539
2022-10-01,5,416,251,0.6033653846153846
2022-10-01,6,416,261,0.6274038461538461
2022-10-01,7,416,259,0.6225961538461539
2022-10-01,8,416,251,0.6033653846153846
2022-10-01,9,416,245,0.5889423076923077
2022-10-01,10,416,274,0.6586538461538461
2022-10-01,11,416,239,0.5745192307692307
2022-10-01,12,416,215,0.5168269230769231
2022-10-01,13,416,263,0.6322115384615384
2022-10-01,14,416,230,0.5528846153846154
2022-10-01,15,416,197,0.4735576923076923
2022-10-01,16,416,223,0.5360576923076923
2022-10-01,17,416,207,0.49759615384615385
2022-10-01,18,416,206,0.4951923076923077
2022-10-01,19,416,218,0.5240384615384616
2022-10-01,20,416,206,0.4951923076923077
2022-10-01,21,416,182,0.4375
2022-10-01,22,416,190,0.4567307692307692
2022-10-01,23,416,195,0.46875
2022-10-01,24,416,196,0.47115384615384615
2022-10-01,25,416,155,0.37259615384615385
2022-10-01,26,416,238,0.5721153846153846
2022-10-01,27,416,1,0.002403846153846154
2022-11-01,1,404,375,0.9282178217821783
2022-11-01,2,404,205,0.5074257425742574
2022-11-01,3,404,291,0.7202970297029703
2022-11-01,4,404,245,0.6064356435643564
2022-11-01,5,404,257,0.6361386138613861
2022-11-01,6,404,264,0.6534653465346535
2022-11-01,7,404,260,0.6435643564356436
2022-11-01,8,404,228,0.5643564356435643
2022-11-01,9,404,256,0.6336633663366337
2022-11-01,10,404,233,0.5767326732673267
2022-11-01,11,404,222,0.5495049504950495
2022-11-01,12,404,247,0.6113861386138614
2022-11-01,13,404,191,0.47277227722772275
2022-11-01,14,404,242,0.599009900990099
2022-11-01,15,404,235,0.5816831683168316
2022-11-01,16,404,195,0.48267326732673266
2022-11-01,17,404,238,0.5891089108910891
2022-11-01,18,404,188,0.46534653465346537
2022-11-01,19,404,222,0.5495049504950495
2022-11-01,20,404,190,0.47029702970297027
2022-11-01,21,404,222,0.5495049504950495
2022-11-01,22,404,191,0.47277227722772275
2022-11-01,23,404,208,0.5148514851485149
2022-11-01,24,404,157,0.3886138613861386
2022-11-01,25,404,256,0.6336633663366337
2022-11-01,26,404,0,0.0
2022-12-01,1,481,447,0.9293139293139293
2022-12-01,2,481,297,0.6174636174636174
2022-12-01,3,481,289,0.6008316008316008
2022-12-01,4,481,347,0.7214137214137214
2022-12-01,5,481,331,0.6881496881496881
2022-12-01,6,481,289,0.6008316008316008
2022-12-01,7,481,303,0.6299376299376299
2022-12-01,8,481,302,0.6278586278586279
2022-12-01,9,481,298,0.6195426195426196
2022-12-01,10,481,286,0.5945945945945946
2022-12-01,11,481,303,0.6299376299376299
2022-12-01,12,481,290,0.6029106029106029
2022-12-01,13,481,280,0.5821205821205822
2022-12-01,14,481,264,0.5488565488565489
2022-12-01,15,481,277,0.5758835758835759
2022-12-01,16,481,248,0.5155925155925156
2022-12-01,17,481,269,0.5592515592515592
2022-12-01,18,481,244,0.5072765072765073
2022-12-01,19,481,241,0.501039501039501
2022-12-01,20,481,256,0.5322245322245323
2022-12-01,21,481,237,0.49272349272349275
2022-12-01,22,481,213,0.44282744282744285
2022-12-01,23,481,219,0.4553014553014553
2022-12-01,24,481,303,0.6299376299376299
2022-12-01,25,481,2,0.004158004158004158
2023-01-01,1,518,474,0.915057915057915
2023-01-01,2,518,292,0.5637065637065637
2023-01-01,3,518,384,0.7413127413127413
2023-01-01,4,518,351,0.6776061776061776
2023-01-01,5,518,362,0.6988416988416989
2023-01-01,6,518,343,0.6621621621621622
2023-01-01,7,518,342,0.6602316602316602
2023-01-01,8,518,334,0.6447876447876448
2023-01-01,9,518,323,0.6235521235521235
2023-01-01,10,518,338,0.6525096525096525
2023-01-01,11,518,304,0.5868725868725869
2023-01-01,12,518,296,0.5714285714285714
2023-01-01,13,518,333,0.6428571428571429
2023-01-01,14,518,285,0.5501930501930502
2023-01-01,15,518,296,0.5714285714285714
2023-01-01,16,518,257,0.49613899613899615
2023-01-01,17,518,296,0.5714285714285714
2023-01-01,18,518,271,0.5231660231660231
2023-01-01,19,518,283,0.5463320463320464
2023-01-01,20,518,255,0.4922779922779923
2023-01-01,21,518,272,0.525096525096525
2023-01-01,22,518,245,0.47297297297297297
2023-01-01,23,518,333,0.6428571428571429
2023-01-01,24,518,6,0.011583011583011582
2023-02-01,1,451,411,0.9113082039911308
2023-02-01,2,451,308,0.6829268292682927
2023-02-01,3,451,312,0.6917960088691796
2023-02-01,4,451,344,0.7627494456762749
2023-02-01,5,451,327,0.7250554323725056
2023-02-01,6,451,324,0.7184035476718403
2023-02-01,7,451,320,0.7095343680709535
2023-02-01,8,451,297,0.6585365853658537
2023-02-01,9,451,300,0.6651884700665188
2023-02-01,10,451,292,0.647450110864745
2023-02-01,11,451,290,0.6430155210643016
2023-02-01,12,451,294,0.6518847006651884
2023-02-01,13,451,253,0.5609756097560976
2023-02-01,14,451,279,0.6186252771618626
2023-02-01,15,451,261,0.5787139689578714
2023-02-01,16,451,255,0.565410199556541
2023-02-01,17,451,252,0.5587583148558758
2023-02-01,18,451,255,0.565410199556541
2023-02-01,19,451,250,0.5543237250554324
2023-02-01,20,451,230,0.5099778270509978
2023-02-01,21,451,237,0.5254988913525499
2023-02-01,22,451,296,0.656319290465632
2023-02-01,23,451,10,0.022172949002217297
2023-03-01,1,553,518,0.9367088607594937
2023-03-01,2,553,402,0.7269439421338155
2023-03-01,3,553,399,0.7215189873417721
2023-03-01,4,553,417,0.7540687160940326
2023-03-01,5,553,421,0.7613019891500904
2023-03-01,6,553,395,0.7142857142857143
2023-03-01,7,553,389,0.7034358047016275
2023-03-01,8,553,389,0.7034358047016275
2023-03-01,9,553,377,0.6817359855334539
2023-03-01,10,553,386,0.6980108499095841
2023-03-01,11,553,354,0.6401446654611211
2023-03-01,12,553,362,0.6546112115732369
2023-03-01,13,553,356,0.64376130198915
2023-03-01,14,553,335,0.6057866184448463
2023-03-01,15,553,337,0.6094032549728752
2023-03-01,16,553,323,0.5840867992766727
2023-03-01,17,553,313,0.566003616636528
2023-03-01,18,553,320,0.5786618444846293
2023-03-01,19,553,295,0.5334538878842676
2023-03-01,20,553,313,0.566003616636528
2023-03-01,21,553,367,0.6636528028933092
2023-03-01,22,553,17,0.03074141048824593
2023-04-01,1,537,497,0.925512104283054
2023-04-01,2,537,419,0.7802607076350093
2023-04-01,3,537,396,0.7374301675977654
2023-04-01,4,537,431,0.8026070763500931
2023-04-01,5,537,387,0.7206703910614525
2023-04-01,6,537,388,0.7225325884543762
2023-04-01,7,537,388,0.7225325884543762
2023-04-01,8,537,366,0.6815642458100558
2023-04-01,9,537,371,0.6908752327746741
2023-04-01,10,537,366,0.6815642458100558
2023-04-01,11,537,339,0.6312849162011173
2023-04-01,12,537,347,0.6461824953445066
2023-04-01,13,537,320,0.595903165735568
2023-04-01,14,537,328,0.6108007448789572
2023-04-01,15,537,331,0.6163873370577281
2023-04-01,16,537,330,0.6145251396648045
2023-04-01,17,537,320,0.595903165735568
2023-04-01,18,537,294,0.547486033519553
2023-04-01,19,537,315,0.5865921787709497
2023-04-01,20,537,360,0.6703910614525139
2023-04-01,21,537,35,0.06517690875232775
2023-05-01,1,567,534,0.9417989417989417
2023-05-01,2,567,457,0.8059964726631393
2023-05-01,3,567,436,0.7689594356261023
2023-05-01,4,567,473,0.8342151675485009
2023-05-01,5,567,437,0.7707231040564374
2023-05-01,6,567,437,0.7707231040564374
2023-05-01,7,567,421,0.7425044091710759
2023-05-01,8,567,429,0.7566137566137566
2023-05-01,9,567,399,0.7037037037037037
2023-05-01,10,567,367,0.6472663139329806
2023-05-01,11,567,421,0.7425044091710759
2023-05-01,12,567,379,0.6684303350970018
2023-05-01,13,567,379,0.6684303350970018
2023-05-01,14,567,363,0.6402116402116402
2023-05-01,15,567,359,0.6331569664902998
2023-05-01,16,567,369,0.6507936507936508
2023-05-01,17,567,348,0.6137566137566137
2023-05-01,18,567,346,0.6102292768959435
2023-05-01,19,567,368,0.6490299823633157
2023-05-01,20,567,58,0.10229276895943562
2023-06-01,1,623,562,0.9020866773675762
2023-06-01,2,623,518,0.8314606741573034
2023-06-01,3,623,537,0.8619582664526485
2023-06-01,4,623,504,0.8089887640449438
2023-06-01,5,623,508,0.8154093097913323
2023-06-01,6,623,476,0.7640449438202247
2023-06-01,7,623,484,0.7768860353130016
2023-06-01,8,623,456,0.7319422150882825
2023-06-01,9,623,449,0.7207062600321027
2023-06-01,10,623,460,0.7383627608346709
2023-06-01,11,623,423,0.6789727126805778
2023-06-01,12,623,430,0.6902086677367576
2023-06-01,13,623,416,0.6677367576243981
2023-06-01,14,623,404,0.6484751203852327
2023-06-01,15,623,400,0.6420545746388443
2023-06-01,16,623,398,0.6388443017656501
2023-06-01,17,623,387,0.6211878009630819
2023-06-01,18,623,412,0.6613162118780096
2023-06-01,19,623,110,0.17656500802568217
2023-07-01,1,635,586,0.9228346456692913
2023-07-01,2,635,543,0.8551181102362204
2023-07-01,3,635,533,0.8393700787401575
2023-07-01,4,635,531,0.8362204724409449
2023-07-01,5,635,506,0.7968503937007874
2023-07-01,6,635,507,0.7984251968503937
2023-07-01,7,635,501,0.7889763779527559
2023-07-01,8,635,477,0.7511811023622047
2023-07-01,9,635,458,0.721259842519685
2023-07-01,10,635,466,0.7338582677165354
2023-07-01,11,635,453,0.7133858267716535
2023-07-01,12,635,425,0.6692913385826772
2023-07-01,13,635,438,0.6897637795275591
2023-07-01,14,635,411,0.647244094488189
2023-07-01,15,635,399,0.6283464566929133
2023-07-01,16,635,409,0.6440944881889764
2023-07-01,17,635,391,0.6157480314960629
2023-07-01,18,635,142,0.22362204724409449
2023-08-01,1,651,601,0.9231950844854071
2023-08-01,2,651,578,0.8878648233486943
2023-08-01,3,651,587,0.901689708141321
2023-08-01,4,651,571,0.8771121351766513
2023-08-01,5,651,563,0.8648233486943164
2023-08-01,6,651,547,0.8402457757296466
2023-08-01,7,651,524,0.804915514592934
2023-08-01,8,651,524,0.804915514592934
2023-08-01,9,651,503,0.7726574500768049
2023-08-01,10,651,496,0.7619047619047619
2023-08-01,11,651,493,0.7572964669738863
2023-08-01,12,651,491,0.7542242703533026
2023-08-01,13,651,463,0.7112135176651305
2023-08-01,14,651,448,0.6881720430107527
2023-08-01,15,651,468,0.7188940092165899
2023-08-01,16,651,438,0.6728110599078341
2023-08-01,17,651,216,0.3317972350230415
2023-09-01,1,694,635,0.9149855907780979
2023-09-01,2,694,642,0.9250720461095101
2023-09-01,3,694,617,0.8890489913544669
2023-09-01,4,694,620,0.8933717579250721
2023-09-01,5,694,599,0.8631123919308358
2023-09-01,6,694,572,0.8242074927953891
2023-09-01,7,694,576,0.829971181556196
2023-09-01,8,694,540,0.7780979827089337
2023-09-01,9,694,559,0.8054755043227666
2023-09-01,10,694,523,0.7536023054755043
2023-09-01,11,694,537,0.7737752161383286
2023-09-01,12,694,535,0.770893371757925
2023-09-01,13,694,505,0.7276657060518732
2023-09-01,14,694,503,0.7247838616714697
2023-09-01,15,694,479,0.6902017291066282
2023-09-01,16,694,259,0.37319884726224783
2023-10-01,1,700,641,0.9157142857142857
2023-10-01,2,700,633,0.9042857142857142
2023-10-01,3,700,645,0.9214285714285714
2023-10-01,4,700,633,0.9042857142857142
2023-10-01,5,700,622,0.8885714285714286
2023-10-01,6,700,621,0.8871428571428571
2023-10-01,7,700,587,0.8385714285714285
2023-10-01,8,700,586,0.8371428571428572
2023-10-01,9,700,562,0.8028571428571428
2023-10-01,10,700,552,0.7885714285714286
2023-10-01,11,700,532,0.76
2023-10-01,12,700,509,0.7271428571428571
2023-10-01,13,700,486,0.6942857142857143
2023-10-01,14,700,470,0.6714285714285714
2023-10-01,15,700,318,0.4542857142857143
2023-11-01,1,702,654,0.9316239316239316
2023-11-01,2,702,665,0.9472934472934473
2023-11-01,3,702,644,0.9173789173789174
2023-11-01,4,702,641,0.9131054131054132
2023-11-01,5,702,609,0.8675213675213675
2023-11-01,6,702,590,0.8404558404558404
2023-11-01,7,702,581,0.8276353276353277
2023-11-01,8,702,565,0.8048433048433048
2023-11-01,9,702,553,0.7877492877492878
2023-11-01,10,702,545,0.7763532763532763
2023-11-01,11,702,513,0.7307692307692307
2023-11-01,12,702,500,0.7122507122507122
2023-11-01,13,702,464,0.6609686609686609
2023-11-01,14,702,383,0.5455840455840456
2023-12-01,1,754,702,0.9310344827586207
2023-12-01,2,754,714,0.946949602122016
2023-12-01,3,754,699,0.9270557029177718
2023-12-01,4,754,684,0.9071618037135278
2023-12-01,5,754,659,0.8740053050397878
2023-12-01,6,754,640,0.8488063660477454
2023-12-01,7,754,619,0.8209549071618037
2023-12-01,8,754,589,0.7811671087533156
2023-12-01,9,754,571,0.7572944297082228
2023-12-01,10,754,549,0.7281167108753316
2023-12-01,11,754,538,0.713527851458886
2023-12-01,12,754,502,0.6657824933687002
2023-12-01,13,754,433,0.5742705570291777
2024-01-01,1,753,699,0.9282868525896414
2024-01-01,2,753,728,0.9667994687915007
2024-01-01,3,753,709,0.9415670650730412
2024-01-01,4,753,692,0.9189907038512616
2024-01-01,5,753,682,0.9057104913678619
2024-01-01,6,753,662,0.8791500664010624
2024-01-01,7,753,644,0.8552456839309429
2024-01-01,8,753,605,0.8034528552456839
2024-01-01,9,753,589,0.7822045152722443
2024-01-01,10,753,564,0.749003984063745
2024-01-01,11,753,557,0.7397078353253652
2024-01-01,12,753,492,0.6533864541832669
2024-02-01,1,720,672,0.9333333333333333
2024-02-01,2,720,704,0.9777777777777777
2024-02-01,3,720,690,0.9583333333333334
2024-02-01,4,720,661,0.9180555555555555
2024-02-01,5,720,638,0.8861111111111111
2024-02-01,6,720,619,0.8597222222222223
2024-02-01,7,720,593,0.8236111111111111
2024-02-01,8,720,568,0.7888888888888889
2024-02-01,9,720,542,0.7527777777777778
2024-02-01,10,720,520,0.7222222222222222
2024-02-01,11,720,468,0.65
2024-03-01,1,759,712,0.9380764163372859
2024-03-01,2,759,745,0.9815546772068511
2024-03-01,3,759,736,0.9696969696969697
2024-03-01,4,759,699,0.9209486166007905
2024-03-01,5,759,673,0.8866930171277997
2024-03-01,6,759,647,0.852437417654809
2024-03-01,7,759,615,0.8102766798418972
2024-03-01,8,759,598,0.7878787878787878
2024-03-01,9,759,573,0.7549407114624506
2024-03-01,10,759,508,0.6693017127799736
2024-04-01,1,796,761,0.9560301507537688
2024-04-01,2,796,790,0.992462311557789
2024-04-01,3,796,766,0.9623115577889447
2024-04-01,4,796,719,0.9032663316582915
2024-04-01,5,796,695,0.8731155778894473
2024-04-01,6,796,663,0.8329145728643216
2024-04-01,7,796,633,0.7952261306532663
2024-04-01,8,796,589,0.7399497487437185
2024-04-01,9,796,535,0.6721105527638191
2024-05-01,1,814,758,0.9312039312039312
2024-05-01,2,814,810,0.995085995085995
2024-05-01,3,814,779,0.957002457002457
2024-05-01,4,814,741,0.9103194103194103
2024-05-01,5,814,703,0.8636363636363636
2024-05-01,6,814,657,0.8071253071253072
2024-05-01,7,814,616,0.7567567567567568
2024-05-01,8,814,563,0.6916461916461917
2024-06-01,1,800,760,0.95
2024-06-01,2,800,798,0.9975
