customer_id,rfm_segment,rfm_score,rfm_total_score,recency,frequency,monetary,average_order_value,customer_lifetime_value,monthly_recurring_revenue,subscription_plan,contract_type,country,industry
CUST_015618,Champions,555,15,4,18,308410.91000000003,17133.939444444448,521762.56,8152.54,Enterprise,Annual,USA,Other
CUST_010032,Champions,555,15,3,22,308151.8,14006.9,188794.81,7228.63,Enterprise,Annual,Germany,Real Estate
CUST_003531,Champions,555,15,13,20,307659.21,15382.960500000001,375810.25,8669.21,Enterprise,Annual,Other,Retail
CUST_013425,Champions,555,15,13,18,306607.36,17033.742222222223,504213.92,9157.12,Enterprise,Annual,Canada,Education
CUST_016573,Champions,555,15,11,20,306161.56,15308.078,218877.15,8695.46,Enterprise,Annual,Germany,Technology
CUST_013902,Champions,555,15,14,21,304942.18,14521.05619047619,768329.83,9462.19,Enterprise,Multi-Year,UK,Real Estate
CUST_004797,Champions,555,15,14,22,304677.08,13848.958181818183,63720.56,7965.07,Enterprise,Annual,Canada,Manufacturing
CUST_004158,Champions,555,15,6,21,303579.96,14456.188571428573,195782.04,6928.36,Enterprise,Annual,Australia,Retail
CUST_003506,Champions,555,15,2,20,301035.6,15051.779999999999,662420.68,7675.79,Enterprise,Annual,Canada,Technology
CUST_003417,Champions,555,15,11,21,297412.91000000003,14162.519523809526,144001.39,9122.26,Enterprise,Annual,USA,Education
CUST_011338,Champions,555,15,5,20,297039.88,14851.994,180371.18,8673.83,Enterprise,Multi-Year,UK,Technology
CUST_015296,Champions,555,15,7,21,294335.08999999997,14015.956666666665,59357.74,6749.71,Enterprise,Annual,Canada,Technology
CUST_010434,Champions,555,15,7,21,294212.56,14010.121904761905,49491.14,7321.51,Enterprise,Annual,Canada,Technology
CUST_014431,Champions,555,15,9,18,292123.45,16229.080555555556,391127.78,9551.35,Enterprise,Multi-Year,Germany,Real Estate
CUST_018548,Champions,555,15,7,18,290849.27999999997,16158.293333333331,424553.97,9534.9,Enterprise,Multi-Year,USA,Retail
CUST_016392,Champions,555,15,14,19,288482.1,15183.26842105263,754776.47,9587.23,Enterprise,Annual,Australia,Finance
CUST_010389,Champions,555,15,6,20,287693.84,14384.692000000001,349651.52,6939.06,Enterprise,Monthly,USA,Retail
CUST_019679,Champions,555,15,1,19,286420.61,15074.76894736842,213743.48,7224.43,Enterprise,Annual,Australia,Other
CUST_006720,Champions,555,15,8,22,285699.43,12986.337727272727,640765.56,7167.4,Enterprise,Annual,USA,Healthcare
CUST_014595,Champions,555,15,7,19,285075.08,15003.95157894737,289481.87,8242.65,Enterprise,Annual,UK,Retail
CUST_013709,Champions,555,15,14,19,280125.84,14743.465263157896,246942.8,8037.42,Enterprise,Annual,Australia,Finance
CUST_011906,Champions,555,15,9,19,278189.22,14641.53789473684,146177.43,8303.57,Enterprise,Multi-Year,Canada,Technology
CUST_013407,Champions,555,15,7,19,274363.87,14440.203684210526,190571.65,7114.1,Enterprise,Annual,USA,Manufacturing
CUST_015603,Champions,555,15,7,20,272416.94,13620.847,86960.82,7716.66,Enterprise,Annual,Germany,Real Estate
CUST_001170,Champions,555,15,15,19,271979.99,14314.736315789472,115510.33,8885.41,Enterprise,Annual,UK,Healthcare
CUST_018973,Champions,555,15,14,21,270827.68,12896.55619047619,147076.17,7182.41,Enterprise,Annual,USA,Other
CUST_005637,Champions,555,15,7,20,270461.37,13523.0685,103525.52,7742.56,Enterprise,Multi-Year,USA,Healthcare
CUST_015430,Champions,555,15,14,21,267799.81,12752.371904761905,311947.84,7503.9,Enterprise,Annual,USA,Finance
CUST_007833,Champions,555,15,6,19,267052.87,14055.414210526316,201797.76,6904.78,Enterprise,Annual,USA,Healthcare
CUST_017255,Champions,555,15,8,19,266688.96,14036.26105263158,96012.86,8161.66,Enterprise,Multi-Year,USA,Other
CUST_011052,Champions,555,15,14,18,266546.69,14808.149444444445,148842.75,8363.87,Enterprise,Annual,USA,Real Estate
CUST_013496,Champions,555,15,3,19,266336.44,14017.707368421054,172092.88,7384.2,Enterprise,Multi-Year,India,Healthcare
CUST_000853,Champions,555,15,4,19,262939.15,13838.902631578949,320953.38,6385.46,Enterprise,Monthly,USA,Healthcare
CUST_011203,Champions,555,15,11,20,259488.33,12974.4165,335158.34,7223.24,Enterprise,Monthly,USA,Finance
CUST_016405,Champions,555,15,6,19,257537.28,13554.593684210526,434665.62,6954.65,Enterprise,Annual,Australia,Finance
CUST_016172,Champions,555,15,7,18,253836.93,14102.051666666666,78973.34,7284.38,Enterprise,Annual,USA,Education
CUST_000627,Champions,555,15,11,19,253641.63999999998,13349.56,215548.54,8221.16,Enterprise,Multi-Year,UK,Other
CUST_010696,Champions,555,15,7,19,248991.77,13104.83,129904.55,6854.26,Enterprise,Multi-Year,Australia,Manufacturing
CUST_015797,Champions,555,15,8,18,248815.49,13823.082777777778,369288.89,7133.99,Enterprise,Annual,USA,Retail
CUST_011137,Champions,555,15,8,20,247713.59,12385.6795,81685.47,6290.83,Enterprise,Annual,USA,Other
CUST_009161,Champions,555,15,15,19,247351.98,13018.525263157895,378146.74,7796.84,Enterprise,Annual,UK,Finance
CUST_001978,Champions,555,15,9,19,239542.35,12607.492105263158,259752.45,6015.32,Enterprise,Monthly,USA,Finance
CUST_010137,Champions,555,15,13,21,238218.76,11343.750476190477,241716.28,6604.27,Enterprise,Annual,USA,Technology
